% time spent exploring,episodes,mean 100 episode reward,steps
92,100,23.1,2290
84,200,23.9,4684
75,300,28.1,7495
61,400,42.2,11714
48,500,40.9,15804
34,600,41.4,19941
22,700,39.3,23871
9,800,39.5,27817
2,900,100.0,37812
2,1000,66.1,44420
2,1100,30.3,47452
2,1200,47.0,52151
2,1300,56.1,57760
2,1400,114.4,69203
2,1500,46.1,73812
2,1600,16.7,75480
2,1700,113.7,86852
2,1800,102.7,97119
2,1900,50.4,102155
2,2000,50.7,107227
2,2100,22.1,109439
2,2200,57.2,115156
2,2300,17.7,116926
2,2400,38.1,120734
2,2500,73.1,128048
2,2600,52.5,133294
2,2700,96.2,142912
2,2800,117.6,154675
2,2900,97.8,164459
2,3000,44.9,168947
2,3100,134.5,182396
2,3200,142.7,196663
2,3300,60.2,202682
2,3400,59.2,208601
2,3500,18.4,210436
2,3600,71.6,217594
2,3700,88.4,226435
2,3800,48.3,231261
2,3900,24.3,233689
2,4000,28.5,236536
2,4100,66.9,243223
2,4200,121.7,255391
2,4300,82.7,263665
2,4400,111.6,274830
2,4500,100.5,284882
2,4600,53.2,290200
2,4700,35.6,293760
2,4800,28.6,296621
2,4900,31.6,299780
