% time spent exploring,episodes,mean 100 episode reward,steps
92,100,22.5,2225
83,200,27.3,4953
75,300,25.0,7457
67,400,25.2,9974
57,500,30.6,13032
50,600,22.7,15298
40,700,28.3,18124
32,800,25.2,20642
8,900,73.2,27961
2,1000,112.3,39192
2,1100,79.4,47128
2,1200,109.7,58101
2,1300,103.5,68451
2,1400,110.1,79465
2,1500,116.8,91143
2,1600,140.0,105142
2,1700,129.5,118090
2,1800,122.3,130316
2,1900,96.5,139965
2,2000,38.2,143789
2,2100,99.7,153763
2,2200,78.4,161601
2,2300,70.3,168632
2,2400,87.0,177335
2,2500,122.0,189531
2,2600,133.2,202847
2,2700,141.0,216945
2,2800,133.1,230259
2,2900,95.3,239793
2,3000,134.7,253259
2,3100,48.1,258067
2,3200,37.6,261824
2,3300,110.8,272907
2,3400,150.9,288000
