% time spent exploring,episodes,mean 100 episode reward,steps
94,100,22.1,2189
88,200,23.2,4510
81,300,31.6,7666
75,400,24.0,10065
69,500,25.2,12588
56,600,50.9,17679
44,700,49.3,22606
8,800,149.2,37523
2,900,148.5,52375
2,1000,142.5,66626
2,1100,104.6,77083
2,1200,148.1,91896
2,1300,154.0,107294
2,1400,149.7,122261
2,1500,160.0,138262
2,1600,142.5,152511
2,1700,89.6,161470
2,1800,125.7,174039
2,1900,53.0,179336
2,2000,88.5,188186
2,2100,147.6,202948
2,2200,96.9,212641
2,2300,122.6,224903
2,2400,149.4,239845
2,2500,167.4,256588
2,2600,149.0,271489
2,2700,103.8,281874
2,2800,53.4,287217
2,2900,149.6,302181
2,3000,157.4,317918
2,3100,157.9,333706
2,3200,155.6,349268
2,3300,163.0,365572
2,3400,67.2,372290
2,3500,98.9,382179
2,3600,41.9,386365
2,3700,28.6,389225
