% time spent exploring,episodes,mean 100 episode reward,steps
94,100,22.9,2270
88,200,24.3,4701
82,300,25.7,7274
74,400,30.8,10359
69,500,22.3,12585
58,600,41.8,16765
51,700,30.1,19775
39,800,50.2,24792
30,900,34.0,28192
25,1000,22.8,30471
13,1100,47.4,35210
5,1200,34.0,38613
2,1300,35.6,42169
2,1400,59.8,48150
2,1500,57.7,53921
2,1600,20.9,56008
2,1700,61.0,62109
2,1800,63.2,68425
2,1900,122.0,80629
2,2000,88.3,89457
2,2100,116.8,101134
2,2200,126.0,113734
2,2300,132.1,126946
2,2400,111.1,138052
2,2500,30.1,141065
2,2600,17.9,142857
2,2700,76.1,150469
2,2800,116.9,162163
2,2900,81.8,170342
2,3000,77.3,178073
2,3100,143.8,192457
2,3200,63.1,198769
2,3300,62.5,205017
2,3400,12.8,206293
2,3500,17.6,208055
2,3600,85.9,216649
2,3700,117.9,228440
2,3800,75.4,235978
2,3900,38.5,239830
2,4000,44.5,244276
2,4100,13.8,245659
2,4200,83.1,253970
2,4300,94.4,263414
2,4400,133.9,276803
2,4500,114.8,288280
2,4600,138.9,302172
2,4700,116.3,313798
2,4800,91.5,322947
2,4900,99.8,332932
2,5000,32.2,336152
2,5100,44.2,340575
2,5200,43.7,344942
2,5300,36.8,348620
2,5400,13.6,349983
2,5500,28.4,352825
2,5600,12.5,354079
2,5700,13.5,355429
2,5800,14.8,356911
2,5900,72.1,364124
2,6000,158.8,380006
2,6100,33.0,383307
2,6200,11.0,384404
2,6300,14.5,385850
2,6400,12.1,387059
2,6500,10.3,388092
2,6600,9.8,389077
2,6700,9.7,390043
2,6800,86.2,398664
