% time spent exploring,episodes,mean 100 episode reward,steps
94,100,20.8,2061
89,200,22.6,4316
83,300,23.9,6709
75,400,33.5,10062
67,500,31.8,13244
60,600,30.5,16292
51,700,34.2,19715
47,800,15.1,21226
40,900,29.7,24194
35,1000,23.1,26507
29,1100,24.0,28911
17,1200,48.5,33763
2,1300,63.4,40102
2,1400,60.0,46097
2,1500,57.0,51793
2,1600,79.7,59767
2,1700,16.3,61395
2,1800,69.4,68338
2,1900,69.5,75288
2,2000,90.5,84334
2,2100,37.8,88117
2,2200,39.8,92100
2,2300,51.2,97223
2,2400,49.5,102170
2,2500,93.8,111547
2,2600,88.4,120387
2,2700,68.4,127227
2,2800,15.0,128727
2,2900,19.6,130690
2,3000,37.5,134437
2,3100,70.4,141472
2,3200,56.9,147164
2,3300,115.5,158712
2,3400,63.1,165021
2,3500,24.9,167508
2,3600,56.2,173123
2,3700,71.1,180233
2,3800,145.7,194805
2,3900,90.4,203848
2,4000,92.4,213083
2,4100,108.0,223879
2,4200,66.7,230553
2,4300,82.4,238798
2,4400,55.8,244383
2,4500,15.8,245967
2,4600,36.2,249588
2,4700,47.3,254315
2,4800,28.1,257125
2,4900,26.4,259763
2,5000,23.3,262095
2,5100,31.4,265234
2,5200,22.6,267496
2,5300,31.1,270610
2,5400,22.7,272878
2,5500,21.0,274983
2,5600,24.7,277454
2,5700,70.6,284510
2,5800,81.6,292672
2,5900,62.4,298917
2,6000,50.8,303994
2,6100,32.0,307195
2,6200,55.8,312780
2,6300,49.2,317703
2,6400,103.4,328038
2,6500,55.7,333606
2,6600,32.4,336841
2,6700,35.4,340379
2,6800,16.6,342035
2,6900,17.9,343827
2,7000,21.8,346012
2,7100,26.4,348651
2,7200,29.0,351554
2,7300,26.8,354239
2,7400,37.8,358020
2,7500,43.3,362353
2,7600,38.9,366242
2,7700,46.9,370930
2,7800,49.8,375911
2,7900,55.8,381488
2,8000,122.3,393720
