% time spent exploring,episodes,mean 100 episode reward,steps
95,100,20.4,2020
89,200,24.6,4485
82,300,25.6,7046
76,400,25.1,9559
70,500,24.1,11971
65,600,22.4,14208
58,700,27.4,16953
53,800,20.1,18966
47,900,26.5,21613
40,1000,25.4,24151
29,1100,46.7,28820
16,1200,53.6,34184
2,1300,77.5,41932
2,1400,106.8,52608
2,1500,122.1,64819
2,1600,95.8,74403
2,1700,108.9,85291
2,1800,105.5,95840
2,1900,127.1,108549
2,2000,81.4,116692
2,2100,64.6,123148
2,2200,89.6,132103
2,2300,130.6,145166
2,2400,91.4,154307
2,2500,64.2,160730
2,2600,89.7,169698
2,2700,94.3,179127
2,2800,80.6,187185
2,2900,124.8,199665
2,3000,117.8,211444
2,3100,112.6,222704
2,3200,82.1,230911
2,3300,100.9,241004
2,3400,141.5,255152
2,3500,38.0,258947
2,3600,66.6,265606
2,3700,48.5,270458
2,3800,100.8,280534
2,3900,81.9,288727
2,4000,115.5,300278
2,4100,82.9,308572
2,4200,142.4,322808
2,4300,125.1,335319
2,4400,137.7,349085
2,4500,158.2,364909
2,4600,131.0,378010
2,4700,91.6,387174
2,4800,67.1,393881
