# {"t_start": 1599494048.44958, "env_id": "CartPole-v0"} 
r,l,t
36.0,36,23.777494
18.0,18,23.824095
40.0,40,23.928498
26.0,26,23.99351
32.0,32,24.097563
29.0,29,24.188224
38.0,38,24.298526
15.0,15,24.347888
21.0,21,24.421948
55.0,55,24.599134
29.0,29,24.705904
16.0,16,24.775591
20.0,20,24.836737
26.0,26,24.924179
21.0,21,24.995101
17.0,17,25.048601
44.0,44,25.189175
24.0,24,25.273845
21.0,21,25.345638
17.0,17,25.406743
28.0,28,25.5071
29.0,29,25.606141
22.0,22,25.693238
18.0,18,25.748843
27.0,27,25.816664
9.0,9,25.844701
15.0,15,25.89225
20.0,20,25.960597
13.0,13,25.995463
21.0,21,26.054672
16.0,16,26.096097
22.0,22,26.167596
13.0,13,26.216735
23.0,23,26.280713
27.0,27,26.342232
25.0,25,26.404814
24.0,24,26.460021
24.0,24,26.530572
25.0,25,26.618959
63.0,63,29.125222
16.0,16,32.981252
12.0,12,35.643628
13.0,13,38.812449
31.0,31,46.138341
11.0,11,48.773403
19.0,19,53.332585
9.0,9,55.442859
55.0,55,67.710039
11.0,11,70.218825
31.0,31,77.681803
19.0,19,82.256814
50.0,50,94.14712
25.0,25,100.381761
26.0,26,106.029683
19.0,19,110.175841
23.0,23,115.710848
46.0,46,126.353186
14.0,14,129.273325
36.0,36,137.844116
53.0,53,150.173786
39.0,39,159.235087
12.0,12,162.321216
16.0,16,166.108071
9.0,9,168.281075
33.0,33,175.962238
12.0,12,178.924289
24.0,24,184.333069
27.0,27,190.855766
19.0,19,195.416742
12.0,12,198.182026
10.0,10,200.392442
20.0,20,205.324003
49.0,49,216.772303
12.0,12,219.417136
18.0,18,223.727527
18.0,18,228.159416
14.0,14,231.490505
19.0,19,235.754071
20.0,20,240.500639
14.0,14,243.996394
11.0,11,246.639453
35.0,35,255.073096
22.0,22,259.897382
12.0,12,262.79723
94.0,94,284.714481
32.0,32,292.291832
22.0,22,297.159638
19.0,19,301.465873
21.0,21,306.713794
21.0,21,311.447989
36.0,36,319.438336
13.0,13,322.638587
26.0,26,328.582063
15.0,15,332.314336
13.0,13,335.430424
26.0,26,341.752755
18.0,18,346.002591
44.0,44,355.799767
15.0,15,359.095036
15.0,15,362.583964
11.0,11,365.073295
30.0,30,371.955539
31.0,31,378.983714
13.0,13,381.79818
13.0,13,384.896637
12.0,12,387.512619
15.0,15,390.983727
36.0,36,399.212429
17.0,17,403.393153
38.0,38,412.438979
18.0,18,416.617737
21.0,21,421.528942
10.0,10,424.04094
9.0,9,426.288334
18.0,18,430.193636
11.0,11,433.068897
14.0,14,436.758896
12.0,12,439.748313
17.0,17,443.854559
12.0,12,446.862933
10.0,10,449.299093
29.0,29,456.100653
27.0,27,462.102771
14.0,14,465.339268
46.0,46,476.395365
38.0,38,485.223106
14.0,14,488.321099
21.0,21,493.231503
11.0,11,495.932331
10.0,10,497.972841
55.0,55,510.421229
17.0,17,514.755527
21.0,21,519.687124
14.0,14,523.086393
15.0,15,526.632102
12.0,12,529.493322
23.0,23,535.107082
12.0,12,538.207622
40.0,40,547.368702
16.0,16,551.508322
12.0,12,554.408642
19.0,19,558.92898
12.0,12,561.715261
13.0,13,565.014132
12.0,12,567.984099
16.0,16,571.844689
17.0,17,576.092214
57.0,57,589.373672
17.0,17,592.914196
27.0,27,598.945178
12.0,12,601.798377
41.0,41,611.779841
11.0,11,614.673259
12.0,12,617.730051
72.0,72,635.424843
71.0,71,652.560788
17.0,17,656.444251
32.0,32,664.395805
20.0,20,669.267202
14.0,14,672.730594
25.0,25,678.434037
14.0,14,682.048244
58.0,58,695.708071
35.0,35,703.541842
14.0,14,706.884281
28.0,28,713.840325
35.0,35,721.654771
11.0,11,724.325886
16.0,16,728.220286
21.0,21,733.174762
55.0,55,745.975864
35.0,35,754.365308
46.0,46,765.145401
79.0,79,784.033173
10.0,10,786.419506
11.0,11,789.126473
19.0,19,793.647564
17.0,17,797.637835
36.0,36,806.017392
47.0,47,816.32048
12.0,12,819.006607
22.0,22,824.548495
19.0,19,829.072533
25.0,25,834.863841
37.0,37,843.619614
34.0,34,851.787148
18.0,18,855.840303
27.0,27,862.506434
59.0,59,876.140778
19.0,19,880.701677
46.0,46,891.732607
35.0,35,900.107092
32.0,32,907.473736
61.0,61,921.918285
38.0,38,931.076647
36.0,36,939.716718
15.0,15,943.66854
20.0,20,948.768285
30.0,30,956.032948
26.0,26,962.290989
15.0,15,965.822895
32.0,32,973.184197
33.0,33,981.479343
56.0,56,995.415679
45.0,45,1006.33493
79.0,79,1024.977498
46.0,46,1036.692386
48.0,48,1047.974517
14.0,14,1051.462628
13.0,13,1054.487261
52.0,52,1067.403449
13.0,13,1070.493382
18.0,18,1074.987753
21.0,21,1080.185638
12.0,12,1083.019009
20.0,20,1087.849972
20.0,20,1092.578342
25.0,25,1098.624975
48.0,48,1109.965329
12.0,12,1113.17946
22.0,22,1118.203468
20.0,20,1123.009935
14.0,14,1126.292953
93.0,93,1148.490837
28.0,28,1154.744142
17.0,17,1158.905004
29.0,29,1165.699339
32.0,32,1173.236614
22.0,22,1178.390833
14.0,14,1181.622883
40.0,40,1191.109977
22.0,22,1196.366712
23.0,23,1202.048684
25.0,25,1208.084182
17.0,17,1211.927943
38.0,38,1220.808758
114.0,114,1247.896392
10.0,10,1250.190807
67.0,67,1265.911437
95.0,95,1288.287165
12.0,12,1291.225855
16.0,16,1295.238479
49.0,49,1306.820149
14.0,14,1310.2566
65.0,65,1326.21806
22.0,22,1331.48696
30.0,30,1338.662885
23.0,23,1344.173432
24.0,24,1349.77377
14.0,14,1353.270892
13.0,13,1356.379832
18.0,18,1360.806798
32.0,32,1368.476531
24.0,24,1374.378218
25.0,25,1380.279773
20.0,20,1385.178878
29.0,29,1392.030409
25.0,25,1397.807405
43.0,43,1408.190223
30.0,30,1415.309705
24.0,24,1420.713208
21.0,21,1425.560919
80.0,80,1444.812261
27.0,27,1450.908782
30.0,30,1457.965007
40.0,40,1467.291397
27.0,27,1473.734797
20.0,20,1478.626027
67.0,67,1493.794924
21.0,21,1498.578885
14.0,14,1501.758688
48.0,48,1512.330624
17.0,17,1516.197188
10.0,10,1518.558055
25.0,25,1524.674397
21.0,21,1529.783865
35.0,35,1537.746882
47.0,47,1549.067362
30.0,30,1556.181755
24.0,24,1561.967273
70.0,70,1578.792444
97.0,97,1601.179956
52.0,52,1613.264128
14.0,14,1616.876081
35.0,35,1625.054232
11.0,11,1627.792156
45.0,45,1638.879079
28.0,28,1645.627445
13.0,13,1648.457565
18.0,18,1652.494676
21.0,21,1657.190579
11.0,11,1660.037184
48.0,48,1671.719241
11.0,11,1674.445083
62.0,62,1689.032731
21.0,21,1693.780661
21.0,21,1698.66987
13.0,13,1701.670712
23.0,23,1706.969033
25.0,25,1712.901019
18.0,18,1716.975737
13.0,13,1720.022672
49.0,49,1732.42884
12.0,12,1735.131258
24.0,24,1740.528837
18.0,18,1744.990975
15.0,15,1748.340096
12.0,12,1751.240608
13.0,13,1754.169835
14.0,14,1757.537109
12.0,12,1760.504993
14.0,14,1763.639764
21.0,21,1768.327574
19.0,19,1772.701674
18.0,18,1776.983642
14.0,14,1780.238743
15.0,15,1783.539047
24.0,24,1789.628366
22.0,22,1795.067052
12.0,12,1797.581572
14.0,14,1800.853415
11.0,11,1803.544568
13.0,13,1806.504334
12.0,12,1809.475321
73.0,73,1826.387083
34.0,34,1834.307312
13.0,13,1837.372526
22.0,22,1842.280183
31.0,31,1850.02466
24.0,24,1855.984924
13.0,13,1859.138051
20.0,20,1863.828829
78.0,78,1882.997155
30.0,30,1890.105943
41.0,41,1899.90032
20.0,20,1904.726395
19.0,19,1909.494381
47.0,47,1920.949912
16.0,16,1924.788889
18.0,18,1929.071512
24.0,24,1934.858883
9.0,9,1936.913931
20.0,20,1941.585317
15.0,15,1945.104522
10.0,10,1947.654039
18.0,18,1951.743173
28.0,28,1957.959765
16.0,16,1961.50496
38.0,38,1970.27503
26.0,26,1976.398292
11.0,11,1978.845723
13.0,13,1981.471652
26.0,26,1988.221325
14.0,14,1991.719413
17.0,17,1995.807526
29.0,29,2002.835506
27.0,27,2008.877818
20.0,20,2013.897722
20.0,20,2019.033091
17.0,17,2022.75005
9.0,9,2025.015735
12.0,12,2027.803034
39.0,39,2037.252822
13.0,13,2040.146819
11.0,11,2042.694129
30.0,30,2049.987752
22.0,22,2055.379042
17.0,17,2059.366813
12.0,12,2062.260612
15.0,15,2065.591022
106.0,106,2091.178666
43.0,43,2101.894656
52.0,52,2113.505326
20.0,20,2118.346747
14.0,14,2121.622912
12.0,12,2124.819708
25.0,25,2130.788028
13.0,13,2133.873147
13.0,13,2137.143018
22.0,22,2142.173368
30.0,30,2148.90881
17.0,17,2152.885331
15.0,15,2156.385068
55.0,55,2169.197791
39.0,39,2178.050489
67.0,67,2194.11892
54.0,54,2207.374398
17.0,17,2211.6888
15.0,15,2215.119349
56.0,56,2229.084655
52.0,52,2240.765393
61.0,61,2255.313635
25.0,25,2260.91451
