% time spent exploring,episodes,mean 100 episode reward,steps
94,100,23.3,2301
87,200,26.5,4954
81,300,25.5,7505
75,400,26.0,10108
70,500,20.5,12161
65,600,20.6,14220
58,700,25.4,16761
47,800,47.5,21509
41,900,24.5,23958
34,1000,29.0,26863
24,1100,40.8,30947
15,1200,36.5,34598
2,1300,84.3,43025
2,1400,62.5,49276
2,1500,79.9,57268
2,1600,52.3,62502
2,1700,19.0,64405
2,1800,48.4,69249
2,1900,15.5,70801
2,2000,37.8,74586
2,2100,94.1,83996
2,2200,83.4,92340
2,2300,30.9,95430
2,2400,78.9,103322
2,2500,18.7,105191
2,2600,19.6,107153
2,2700,21.5,109306
2,2800,20.1,111316
2,2900,36.7,114989
2,3000,26.8,117665
2,3100,45.6,122221
2,3200,23.2,124542
2,3300,57.8,130320
2,3400,43.0,134617
2,3500,32.0,137821
2,3600,33.1,141129
2,3700,65.8,147704
2,3800,78.6,155561
2,3900,62.1,161767
2,4000,77.3,169498
2,4100,51.2,174617
2,4200,51.2,179733
2,4300,46.8,184415
2,4400,23.8,186790
2,4500,30.9,189878
2,4600,29.8,192856
2,4700,62.4,199100
2,4800,43.7,203472
2,4900,48.8,208352
2,5000,85.5,216900
2,5100,63.9,223287
2,5200,51.7,228458
2,5300,79.4,236396
2,5400,45.7,240964
2,5500,43.6,245324
2,5600,34.7,248790
2,5700,31.7,251959
2,5800,27.3,254692
2,5900,56.8,260367
2,6000,27.3,263095
2,6100,41.9,267283
2,6200,53.4,272618
2,6300,23.4,274961
2,6400,14.7,276427
2,6500,15.0,277932
2,6600,20.3,279966
2,6700,23.9,282356
2,6800,77.9,290145
2,6900,66.7,296818
2,7000,13.2,298143
2,7100,15.5,299697
2,7200,43.3,304030
2,7300,82.8,312313
2,7400,68.8,319188
2,7500,38.2,323004
2,7600,46.6,327662
2,7700,13.7,329031
2,7800,11.2,330146
2,7900,10.6,331204
2,8000,69.7,338175
2,8100,46.4,342818
2,8200,21.1,344924
2,8300,13.6,346287
2,8400,60.9,352380
2,8500,73.1,359694
2,8600,66.1,366304
2,8700,43.4,370639
2,8800,27.1,373349
2,8900,11.7,374523
2,9000,11.8,375699
2,9100,13.3,377028
2,9200,10.3,378056
2,9300,12.5,379305
2,9400,17.2,381023
2,9500,13.3,382354
2,9600,10.8,383433
2,9700,12.9,384725
2,9800,11.3,385853
2,9900,11.3,386986
2,10000,16.5,388639
2,10100,36.3,392267
2,10200,40.8,396347
