# {"t_start": 1598984492.30813, "env_id": "CartPole-v0"} 
r,l,t
20.0,20,20.45258
26.0,26,20.515855
17.0,17,20.554397
17.0,17,20.593046
18.0,18,20.638542
14.0,14,20.683067
21.0,21,20.740792
15.0,15,20.785012
51.0,51,20.929552
23.0,23,20.994423
11.0,11,21.023401
18.0,18,21.074844
55.0,55,21.188422
17.0,17,21.225302
15.0,15,21.255163
20.0,20,21.294316
27.0,27,21.363566
53.0,53,21.495009
28.0,28,21.560788
14.0,14,21.585727
19.0,19,21.621724
17.0,17,21.667925
11.0,11,21.699564
11.0,11,21.726581
51.0,51,21.853219
25.0,25,21.918037
18.0,18,21.967227
16.0,16,22.012722
47.0,47,22.128951
27.0,27,22.201208
18.0,18,22.242164
23.0,23,22.291848
10.0,10,22.313007
9.0,9,22.332629
19.0,19,22.377115
15.0,15,22.40592
18.0,18,22.438855
11.0,11,22.462314
20.0,20,22.498222
12.0,12,22.52482
17.0,17,22.561908
18.0,18,22.600682
12.0,12,22.623834
24.0,24,22.68421
34.0,34,22.7691
13.0,13,22.803368
13.0,13,23.94036
19.0,19,25.227319
26.0,26,27.144534
22.0,22,28.495319
17.0,17,29.65151
26.0,26,31.395464
44.0,44,34.617978
20.0,20,36.024071
13.0,13,36.906421
21.0,21,38.326653
14.0,14,39.193201
23.0,23,40.78417
17.0,17,41.943936
22.0,22,43.273355
24.0,24,44.671007
18.0,18,45.939515
18.0,18,47.147859
14.0,14,47.972347
65.0,65,52.581872
11.0,11,53.231997
35.0,35,55.577841
15.0,15,56.606616
19.0,19,57.975199
15.0,15,59.083631
25.0,25,60.917459
10.0,10,61.639847
21.0,21,63.06888
21.0,21,64.407241
24.0,24,66.059196
102.0,102,73.016434
18.0,18,74.034385
16.0,16,75.130815
21.0,21,76.601392
18.0,18,77.888471
47.0,47,81.006199
17.0,17,82.04548
22.0,22,83.592493
23.0,23,85.270217
9.0,9,85.899874
37.0,37,88.520404
23.0,23,90.15009
18.0,18,91.392623
22.0,22,92.923279
13.0,13,93.899017
22.0,22,95.428955
17.0,17,96.503388
32.0,32,98.742906
37.0,37,101.248047
27.0,27,103.11646
47.0,47,106.643302
17.0,17,107.831576
27.0,27,109.756477
20.0,20,111.178912
14.0,14,112.139587
23.0,23,113.759938
22.0,22,115.369086
34.0,34,117.679131
18.0,18,119.006312
21.0,21,120.568943
45.0,45,123.79439
46.0,46,127.086182
77.0,77,131.946792
49.0,49,135.210958
18.0,18,136.469779
14.0,14,137.465653
33.0,33,139.863631
46.0,46,143.025277
35.0,35,145.519403
24.0,24,147.262502
10.0,10,148.030151
20.0,20,149.604623
61.0,61,153.590795
15.0,15,154.579916
12.0,12,155.340081
18.0,18,156.807547
18.0,18,158.110303
21.0,21,159.503835
18.0,18,160.785287
33.0,33,163.132612
11.0,11,163.889859
16.0,16,164.995912
39.0,39,167.821553
32.0,32,170.091457
12.0,12,170.961574
12.0,12,171.791047
25.0,25,173.745309
20.0,20,175.261468
20.0,20,176.791982
14.0,14,177.782628
8.0,8,178.354626
23.0,23,179.86543
22.0,22,181.384111
28.0,28,183.272702
23.0,23,184.929125
32.0,32,187.026527
62.0,62,191.319335
13.0,13,192.12781
44.0,44,195.172467
34.0,34,197.61711
16.0,16,198.723674
24.0,24,200.249295
47.0,47,203.568527
18.0,18,204.874779
12.0,12,205.721155
13.0,13,206.672017
20.0,20,208.083018
38.0,38,210.720648
19.0,19,212.077472
12.0,12,213.009902
28.0,28,214.995476
100.0,100,221.830599
23.0,23,223.267159
28.0,28,224.88633
13.0,13,225.893062
45.0,45,229.073021
26.0,26,230.922333
27.0,27,232.896894
16.0,16,233.982606
16.0,16,235.073884
9.0,9,235.703403
39.0,39,238.498313
38.0,38,241.221149
34.0,34,243.650668
9.0,9,244.3155
33.0,33,246.699898
19.0,19,248.011036
37.0,37,250.456581
10.0,10,250.753892
14.0,14,251.545032
16.0,16,252.66509
112.0,112,260.459452
15.0,15,261.532126
13.0,13,262.370651
29.0,29,264.361881
28.0,28,266.353022
21.0,21,267.794968
18.0,18,269.069415
53.0,53,272.918198
35.0,35,275.371078
30.0,30,277.321404
56.0,56,281.007049
17.0,17,282.164294
13.0,13,283.01955
12.0,12,283.896505
30.0,30,286.174792
