% time spent exploring,episodes,mean 100 episode reward,steps
92,100,23.7,2349
82,200,29.4,5287
73,300,28.5,8139
66,400,20.5,10186
59,500,23.4,12527
46,600,38.2,16351
37,700,27.4,19091
22,800,47.4,23828
2,900,86.7,32500
2,1000,114.5,43952
2,1100,99.7,53920
2,1200,72.0,61125
2,1300,126.7,73792
2,1400,146.9,88486
2,1500,128.2,101311
2,1600,110.5,112359
2,1700,135.2,125879
2,1800,63.9,132270
2,1900,157.0,147970
2,2000,186.2,166587
2,2100,128.1,179398
2,2200,77.4,187134
2,2300,137.7,200901
2,2400,159.2,216825
2,2500,102.1,227032
2,2600,128.8,239912
2,2700,147.8,254696
2,2800,133.8,268077
2,2900,12.5,269323
2,3000,9.7,270292
2,3100,55.2,275808
2,3200,111.3,286938
2,3300,118.5,298790
