% time spent exploring,episodes,mean 100 episode reward,steps
95,100,20.1,1987
88,200,27.2,4709
81,300,28.2,7525
74,400,27.8,10307
68,500,26.6,12965
62,600,25.3,15499
53,700,36.4,19144
45,800,32.7,22410
33,900,45.6,26972
19,1000,58.2,32793
2,1100,68.6,39657
2,1200,127.6,52422
2,1300,123.6,64780
2,1400,141.6,78940
2,1500,140.8,93024
2,1600,175.6,110589
2,1700,174.3,128015
2,1800,167.6,144773
2,1900,142.4,159010
2,2000,173.2,176332
2,2100,197.0,196036
2,2200,200.0,216036
2,2300,190.4,235073
2,2400,174.1,252479
2,2500,189.9,271466
2,2600,176.3,289093
2,2700,166.5,305745
2,2800,178.9,323632
2,2900,163.0,339927
2,3000,193.2,359248
2,3100,164.2,375672
2,3200,182.6,393931
