% time spent exploring,episodes,mean 100 episode reward,steps
94,100,21.9,2167
89,200,22.6,4432
81,300,30.2,7449
75,400,27.2,10173
68,500,25.6,12731
61,600,28.4,15570
55,700,23.9,17964
43,800,50.2,22987
34,900,37.5,26736
24,1000,42.0,30934
11,1100,53.0,36239
2,1200,110.1,47253
2,1300,132.0,60452
2,1400,105.6,71012
2,1500,149.3,85942
2,1600,161.6,102100
2,1700,133.9,115489
2,1800,154.8,130972
2,1900,172.2,148190
2,2000,192.0,167389
2,2100,194.1,186799
2,2200,167.3,203525
2,2300,195.9,223116
2,2400,191.4,242257
2,2500,146.9,256944
2,2600,132.8,270224
2,2700,197.3,289953
2,2800,189.5,308905
2,2900,192.4,328143
2,3000,167.9,344931
2,3100,181.1,363041
2,3200,174.8,380522
2,3300,177.3,398253
