# {"t_start": 1599062025.9761746, "env_id": "CartPole-v0"} 
r,l,t
95.0,95,22.353346
36.0,36,22.397251
24.0,24,22.445105
45.0,45,22.511058
19.0,19,22.539113
17.0,17,22.5692
22.0,22,22.614512
13.0,13,22.64265
10.0,10,22.668843
13.0,13,22.711647
11.0,11,22.735071
15.0,15,22.76427
9.0,9,22.78448
24.0,24,22.827406
22.0,22,22.873604
24.0,24,22.943738
16.0,16,22.98337
12.0,12,23.00588
18.0,18,23.048634
39.0,39,23.126422
16.0,16,23.156039
35.0,35,23.224018
19.0,19,23.261037
22.0,22,23.30404
19.0,19,23.356182
26.0,26,23.424897
11.0,11,23.45794
12.0,12,23.490992
18.0,18,23.547872
8.0,8,23.570893
11.0,11,23.602478
15.0,15,23.636342
21.0,21,23.686708
13.0,13,23.724116
36.0,36,23.819734
24.0,24,23.8769
17.0,17,23.921073
32.0,32,24.004362
26.0,26,24.083599
16.0,16,24.131464
14.0,14,24.177104
15.0,15,24.218055
32.0,32,24.316173
14.0,14,24.357341
17.0,17,24.408084
30.0,30,25.41214
32.0,32,31.424547
11.0,11,33.473108
17.0,17,36.51586
18.0,18,39.97404
15.0,15,42.680465
15.0,15,45.674164
12.0,12,47.899223
24.0,24,52.535403
18.0,18,55.902877
14.0,14,58.545865
16.0,16,61.482756
20.0,20,65.123644
11.0,11,67.240948
20.0,20,70.907068
25.0,25,75.731385
20.0,20,79.326967
17.0,17,82.452547
34.0,34,88.175358
12.0,12,90.328128
12.0,12,92.489237
17.0,17,95.26654
15.0,15,97.965107
25.0,25,101.829304
12.0,12,103.862744
23.0,23,108.009791
19.0,19,111.647952
15.0,15,114.409177
16.0,16,117.329211
31.0,31,122.889999
30.0,30,128.040043
60.0,60,138.474843
27.0,27,143.425395
17.0,17,146.487008
43.0,43,154.37735
18.0,18,157.841898
18.0,18,161.106814
19.0,19,164.564957
23.0,23,168.420437
20.0,20,171.988224
15.0,15,174.496508
10.0,10,175.920701
37.0,37,182.821388
19.0,19,186.277962
17.0,17,189.27584
19.0,19,192.991823
9.0,9,194.575958
20.0,20,198.182178
13.0,13,200.334879
17.0,17,203.755639
33.0,33,209.989034
16.0,16,213.143971
21.0,21,217.108508
27.0,27,221.913759
40.0,40,229.382876
16.0,16,232.247475
17.0,17,235.363764
68.0,68,247.501235
20.0,20,251.037388
16.0,16,253.798146
21.0,21,257.483162
11.0,11,259.167922
17.0,17,262.429518
16.0,16,265.394851
16.0,16,268.375895
29.0,29,273.433612
25.0,25,278.329028
40.0,40,286.179527
34.0,34,292.245633
35.0,35,298.315975
12.0,12,300.455483
13.0,13,303.103182
11.0,11,305.202275
10.0,10,306.965969
18.0,18,310.200519
21.0,21,314.1052
18.0,18,317.367424
22.0,22,321.121194
18.0,18,324.209006
11.0,11,326.032429
11.0,11,327.929085
28.0,28,333.103964
14.0,14,335.466173
18.0,18,338.614775
58.0,58,348.710721
17.0,17,351.665343
14.0,14,354.048003
13.0,13,356.188193
37.0,37,363.003839
16.0,16,365.975562
27.0,27,370.990064
15.0,15,373.763271
15.0,15,376.580498
17.0,17,379.858279
26.0,26,384.429928
17.0,17,387.428058
12.0,12,389.64643
14.0,14,392.111011
48.0,48,400.689387
20.0,20,404.385401
13.0,13,406.781758
19.0,19,410.148154
30.0,30,415.528907
16.0,16,418.40356
23.0,23,422.5188
49.0,49,431.462035
35.0,35,437.79163
33.0,33,443.822181
29.0,29,449.575722
16.0,16,452.660713
37.0,37,459.08593
24.0,24,463.869181
13.0,13,466.105791
18.0,18,469.25849
30.0,30,474.819508
26.0,26,479.646814
14.0,14,482.335188
12.0,12,484.691994
58.0,58,495.289127
44.0,44,502.817281
13.0,13,505.307551
