% time spent exploring,episodes,mean 100 episode reward,steps
92,100,22.1,2191
85,200,22.4,4428
76,300,29.2,7343
65,400,30.9,10435
58,500,23.0,12734
51,600,22.1,14943
42,700,26.9,17637
29,800,40.2,21655
12,900,52.6,26917
2,1000,110.5,37967
2,1100,87.7,46733
2,1200,81.4,54871
2,1300,98.6,64730
2,1400,80.8,72806
2,1500,75.6,80369
2,1600,128.8,93251
2,1700,158.3,109083
2,1800,121.5,121231
2,1900,115.8,132812
2,2000,137.9,146604
2,2100,118.4,158446
2,2200,110.8,169530
2,2300,78.6,177388
2,2400,82.8,185665
2,2500,118.5,197517
2,2600,131.3,210644
2,2700,78.5,218497
2,2800,32.8,221780
2,2900,51.6,226943
2,3000,51.2,232068
2,3100,97.5,241816
2,3200,84.8,250291
2,3300,118.1,262102
2,3400,92.5,271354
2,3500,64.8,277838
2,3600,88.4,286682
2,3700,63.6,293042
2,3800,33.1,296355
2,3900,26.4,298996
