% time spent exploring,episodes,mean 100 episode reward,steps
92,100,24.2,2390
83,200,26.8,5065
74,300,27.3,7795
66,400,23.8,10176
60,500,20.6,12231
54,600,18.3,14063
45,700,26.4,16705
32,800,38.8,20582
15,900,52.9,25873
2,1000,70.7,32943
2,1100,68.6,39799
2,1200,124.3,52226
2,1300,47.1,56939
2,1400,76.6,64600
2,1500,124.7,77069
2,1600,83.0,85369
2,1700,95.4,94912
2,1800,104.2,105335
2,1900,98.4,115170
2,2000,56.0,120771
2,2100,80.3,128798
2,2200,114.2,140214
2,2300,147.7,154985
2,2400,186.0,173585
2,2500,106.2,184205
2,2600,34.2,187627
2,2700,10.0,188622
2,2800,11.2,189747
2,2900,52.0,194945
2,3000,85.5,203495
2,3100,85.8,212079
2,3200,125.4,224616
2,3300,56.2,230231
2,3400,104.1,240645
2,3500,117.4,252386
2,3600,76.9,260075
2,3700,78.0,267872
2,3800,142.8,282157
2,3900,92.8,291442
