# {"t_start": 1599389635.91331, "env_id": "CartPole-v0"} 
r,l,t
42.0,42,4.594001
17.0,17,4.620678
16.0,16,4.652439
39.0,39,4.713084
11.0,11,4.730421
10.0,10,4.746068
14.0,14,4.761783
15.0,15,4.778186
22.0,22,4.802679
80.0,80,4.910858
28.0,28,4.976185
55.0,55,5.041952
17.0,17,5.060544
16.0,16,5.077955
23.0,23,5.102725
11.0,11,5.114606
10.0,10,5.137775
14.0,14,5.166347
10.0,10,5.187843
17.0,17,5.218761
15.0,15,5.24192
21.0,21,5.266279
55.0,55,5.330552
19.0,19,5.353589
20.0,20,5.386534
29.0,29,5.463259
13.0,13,5.493747
15.0,15,5.511324
15.0,15,5.52752
18.0,18,5.547765
17.0,17,5.566601
35.0,35,5.604981
18.0,18,5.632555
11.0,11,5.660119
21.0,21,5.715151
35.0,35,5.769742
18.0,18,5.791874
44.0,44,5.842606
25.0,25,5.872355
20.0,20,5.935014
19.0,19,5.963931
13.0,13,5.97946
12.0,12,5.992644
17.0,17,6.013017
16.0,16,6.49506
22.0,22,7.785872
33.0,33,9.602296
13.0,13,10.300084
48.0,48,13.317279
15.0,15,14.085975
16.0,16,15.076807
18.0,18,15.982123
22.0,22,17.238813
24.0,24,18.504309
37.0,37,20.510367
26.0,26,21.813994
23.0,23,23.101752
31.0,31,24.729343
36.0,36,26.689599
18.0,18,27.657574
38.0,38,29.773765
22.0,22,30.925032
16.0,16,31.83042
22.0,22,33.054019
15.0,15,33.928458
45.0,45,36.786234
49.0,49,39.344728
22.0,22,40.439977
14.0,14,41.198049
19.0,19,42.315307
25.0,25,43.65954
14.0,14,44.38449
31.0,31,46.115134
16.0,16,46.963227
21.0,21,48.116492
53.0,53,50.869133
18.0,18,51.919514
78.0,78,55.987144
17.0,17,56.912004
15.0,15,57.740203
11.0,11,58.320636
8.0,8,58.769576
24.0,24,59.918879
16.0,16,60.804318
17.0,17,61.697458
15.0,15,62.489168
57.0,57,65.549134
11.0,11,66.17509
17.0,17,67.04602
13.0,13,67.720688
11.0,11,68.378109
11.0,11,68.908001
43.0,43,71.268054
22.0,22,72.559465
22.0,22,73.813104
16.0,16,74.766847
14.0,14,75.517068
53.0,53,78.383726
15.0,15,79.392936
11.0,11,79.934742
14.0,14,80.697646
22.0,22,82.143215
36.0,36,84.656947
21.0,21,85.866587
34.0,34,87.925849
18.0,18,89.039584
17.0,17,90.222894
21.0,21,91.542018
20.0,20,92.625442
21.0,21,93.784831
22.0,22,95.748735
23.0,23,97.326486
34.0,34,99.371096
28.0,28,100.957204
17.0,17,102.084235
19.0,19,103.20234
19.0,19,104.573144
60.0,60,108.622923
14.0,14,109.363129
17.0,17,110.336868
103.0,103,117.071859
16.0,16,118.363203
17.0,17,119.65976
38.0,38,122.091533
18.0,18,123.619149
31.0,31,125.3805
48.0,48,127.85387
18.0,18,128.75819
12.0,12,129.349695
17.0,17,130.21945
10.0,10,130.773503
21.0,21,132.026032
96.0,96,137.163562
73.0,73,140.954754
19.0,19,141.944153
22.0,22,143.143232
38.0,38,145.210893
73.0,73,149.174365
31.0,31,150.763679
41.0,41,153.067614
55.0,55,156.57051
11.0,11,157.210272
37.0,37,159.219387
15.0,15,160.002888
23.0,23,161.22419
16.0,16,162.319996
13.0,13,162.967387
41.0,41,165.24234
39.0,39,167.308249
67.0,67,170.788268
30.0,30,172.379582
30.0,30,173.971789
46.0,46,176.417678
23.0,23,177.628733
20.0,20,178.676271
37.0,37,180.593963
24.0,24,182.063907
45.0,45,184.530733
21.0,21,185.696556
45.0,45,188.112072
48.0,48,190.861496
27.0,27,192.531919
20.0,20,193.570479
83.0,83,197.998236
18.0,18,198.942051
75.0,75,202.888603
38.0,38,204.856156
29.0,29,206.362521
10.0,10,206.893466
19.0,19,207.915739
64.0,64,211.391317
55.0,55,214.785365
30.0,30,216.512433
20.0,20,217.509369
32.0,32,219.298369
28.0,28,220.888786
60.0,60,224.531359
11.0,11,225.249829
15.0,15,226.053475
33.0,33,227.888224
11.0,11,228.445559
22.0,22,229.651166
20.0,20,230.707552
42.0,42,233.486829
14.0,14,234.391651
17.0,17,235.415978
35.0,35,237.542534
50.0,50,240.299537
47.0,47,242.838971
16.0,16,243.688994
27.0,27,245.140701
11.0,11,245.75296
13.0,13,246.450208
35.0,35,248.281897
24.0,24,249.548673
71.0,71,253.553884
11.0,11,254.238293
25.0,25,255.817459
26.0,26,257.442451
41.0,41,259.714673
22.0,22,260.869688
18.0,18,261.86707
59.0,59,265.069689
52.0,52,267.892399
9.0,9,268.401322
48.0,48,270.97727
35.0,35,272.921726
24.0,24,274.59912
15.0,15,275.559131
12.0,12,276.301978
20.0,20,277.340643
32.0,32,279.051696
25.0,25,280.405318
15.0,15,281.228944
63.0,63,284.668088
12.0,12,285.408784
45.0,45,287.713911
30.0,30,289.313426
33.0,33,290.992166
43.0,43,293.288116
36.0,36,295.257626
17.0,17,296.181955
25.0,25,297.540324
53.0,53,300.335362
88.0,88,305.16718
15.0,15,305.984072
63.0,63,309.265982
53.0,53,312.294412
20.0,20,313.285424
31.0,31,315.025111
61.0,61,318.695909
31.0,31,320.358237
30.0,30,321.884713
15.0,15,322.671894
44.0,44,324.985271
21.0,21,326.099334
37.0,37,327.995661
15.0,15,328.795532
74.0,74,332.70392
22.0,22,333.871464
29.0,29,335.907158
45.0,45,338.304224
10.0,10,338.820717
89.0,89,343.769035
20.0,20,345.215674
41.0,41,347.536309
28.0,28,349.127029
37.0,37,350.928744
16.0,16,351.802005
15.0,15,352.618684
13.0,13,353.282078
16.0,16,354.033515
15.0,15,354.904245
58.0,58,357.989469
11.0,11,358.493981
37.0,37,360.408388
32.0,32,362.154004
26.0,26,363.606013
19.0,19,364.571192
32.0,32,366.271162
32.0,32,367.960126
19.0,19,368.957272
22.0,22,370.235081
15.0,15,370.96205
25.0,25,372.547569
11.0,11,373.140794
16.0,16,374.084502
23.0,23,375.29484
16.0,16,376.158931
13.0,13,376.944552
73.0,73,380.936297
16.0,16,381.754725
14.0,14,382.460573
35.0,35,384.349352
40.0,40,386.51191
33.0,33,388.260849
14.0,14,389.058753
24.0,24,390.413634
20.0,20,391.522149
31.0,31,393.241467
16.0,16,394.083341
21.0,21,395.396136
81.0,81,400.272944
15.0,15,401.172868
24.0,24,402.601563
46.0,46,405.181225
18.0,18,406.214521
19.0,19,407.289505
19.0,19,408.22728
12.0,12,408.84112
39.0,39,410.884353
21.0,21,411.951698
15.0,15,412.74769
28.0,28,414.240096
16.0,16,415.153314
18.0,18,416.14489
19.0,19,417.158175
21.0,21,418.225073
12.0,12,418.860251
21.0,21,419.949166
15.0,15,420.738775
16.0,16,421.594263
21.0,21,422.7259
55.0,55,425.6092
34.0,34,427.430467
21.0,21,428.528542
21.0,21,429.662539
34.0,34,431.599664
21.0,21,432.837235
22.0,22,434.083893
15.0,15,434.901925
16.0,16,435.786703
11.0,11,436.354105
23.0,23,437.615854
13.0,13,438.410329
11.0,11,438.973212
29.0,29,440.466254
11.0,11,441.031963
9.0,9,441.516937
17.0,17,442.460939
23.0,23,443.605521
12.0,12,444.337441
14.0,14,445.00642
34.0,34,446.781662
15.0,15,447.662929
50.0,50,450.30705
12.0,12,450.953004
24.0,24,452.180871
23.0,23,453.393192
20.0,20,454.523061
15.0,15,455.595323
25.0,25,457.407265
27.0,27,458.7459
17.0,17,459.626035
31.0,31,461.201405
34.0,34,463.157102
21.0,21,464.280644
13.0,13,465.012995
19.0,19,466.172047
16.0,16,467.205756
14.0,14,468.139957
19.0,19,468.991717
32.0,32,470.655137
47.0,47,473.079226
22.0,22,474.188642
13.0,13,474.980678
16.0,16,475.768897
26.0,26,477.206023
48.0,48,479.804564
32.0,32,481.481471
21.0,21,482.650389
9.0,9,483.166289
17.0,17,483.978064
59.0,59,487.306954
20.0,20,488.385006
9.0,9,488.895747
10.0,10,489.459701
15.0,15,490.226716
70.0,70,494.381623
39.0,39,496.420471
18.0,18,497.391064
17.0,17,498.329145
16.0,16,499.184636
16.0,16,500.07053
25.0,25,501.391284
14.0,14,502.120998
20.0,20,503.100174
14.0,14,503.899208
58.0,58,506.934567
25.0,25,508.650766
15.0,15,509.510834
16.0,16,510.279795
19.0,19,511.297838
18.0,18,512.219928
13.0,13,512.999185
10.0,10,513.548285
17.0,17,514.951555
21.0,21,516.358784
15.0,15,517.181358
9.0,9,517.696306
10.0,10,518.232673
11.0,11,518.792523
19.0,19,519.831207
21.0,21,520.948737
12.0,12,521.67906
38.0,38,523.803489
17.0,17,524.701061
38.0,38,526.768736
76.0,76,530.876895
12.0,12,531.485539
13.0,13,532.258216
24.0,24,533.838864
13.0,13,534.522787
23.0,23,535.896305
47.0,47,538.446877
36.0,36,540.377162
55.0,55,543.479408
54.0,54,546.397786
33.0,33,548.244232
20.0,20,549.3081
19.0,19,550.340471
10.0,10,550.876635
28.0,28,552.5382
34.0,34,555.121626
55.0,55,560.03547
34.0,34,562.050577
29.0,29,563.755434
52.0,52,566.998738
16.0,16,567.949426
73.0,73,572.344166
22.0,22,573.539307
12.0,12,574.232516
23.0,23,575.783692
49.0,49,578.977939
31.0,31,580.540724
26.0,26,582.088538
21.0,21,583.161551
73.0,73,587.365712
26.0,26,588.696968
62.0,62,592.142251
48.0,48,594.805949
14.0,14,595.648755
55.0,55,598.636422
