# {"t_start": 1598905469.747516, "env_id": "CartPole-v0"} 
r,l,t
20.0,20,21.463093
35.0,35,21.549253
13.0,13,21.573789
15.0,15,21.601981
27.0,27,21.663483
26.0,26,21.736837
39.0,39,21.832035
16.0,16,21.874902
10.0,10,21.901856
13.0,13,21.926179
12.0,12,21.965588
33.0,33,22.044298
14.0,14,22.075565
14.0,14,22.101341
13.0,13,22.128369
24.0,24,22.213625
29.0,29,22.289987
14.0,14,22.316507
15.0,15,22.355173
23.0,23,22.409372
39.0,39,22.496539
11.0,11,22.521561
22.0,22,22.575803
47.0,47,22.66467
34.0,34,22.73069
10.0,10,22.747803
11.0,11,22.770101
50.0,50,22.866368
17.0,17,22.901108
12.0,12,22.925899
10.0,10,22.95357
13.0,13,22.986774
14.0,14,23.027779
13.0,13,23.062744
24.0,24,23.128698
27.0,27,23.19832
16.0,16,23.245291
30.0,30,23.336469
19.0,19,23.380976
32.0,32,23.454116
51.0,51,23.569324
40.0,40,23.661959
18.0,18,23.704997
8.0,8,23.719779
18.0,18,23.755359
25.0,25,25.884168
16.0,16,27.367818
24.0,24,29.37609
26.0,26,31.798339
19.0,19,33.532033
12.0,12,34.523105
16.0,16,35.779288
24.0,24,37.954862
43.0,43,41.551461
20.0,20,43.466398
18.0,18,45.019621
20.0,20,46.843916
18.0,18,48.592295
26.0,26,50.876061
16.0,16,52.280543
9.0,9,53.132856
17.0,17,54.687978
15.0,15,56.053291
51.0,51,60.392516
31.0,31,63.119002
11.0,11,63.992071
26.0,26,66.335503
27.0,27,68.755666
10.0,10,69.806415
18.0,18,71.370531
15.0,15,72.696463
26.0,26,74.667176
8.0,8,75.395293
16.0,16,76.658808
16.0,16,78.178814
23.0,23,80.093384
35.0,35,82.800819
29.0,29,85.385648
14.0,14,86.465089
14.0,14,87.782946
34.0,34,90.584534
13.0,13,91.887139
30.0,30,94.340834
26.0,26,96.617487
14.0,14,97.927328
23.0,23,99.989605
18.0,18,101.47678
21.0,21,103.26157
22.0,22,105.278571
11.0,11,106.073176
20.0,20,107.739325
21.0,21,109.286664
16.0,16,110.612522
10.0,10,111.476846
22.0,22,113.246557
28.0,28,115.532596
14.0,14,116.63317
19.0,19,118.402283
9.0,9,119.173598
16.0,16,120.5716
21.0,21,122.141236
19.0,19,123.704992
14.0,14,124.823793
127.0,127,135.348215
18.0,18,136.795811
13.0,13,137.679944
15.0,15,138.898757
19.0,19,140.360381
25.0,25,142.155946
15.0,15,143.209283
15.0,15,144.258304
20.0,20,145.654768
20.0,20,147.134965
18.0,18,148.265303
20.0,20,149.642801
34.0,34,151.870584
16.0,16,153.000155
18.0,18,154.13801
22.0,22,155.525492
18.0,18,156.855741
22.0,22,158.377228
13.0,13,159.262473
23.0,23,160.939869
27.0,27,162.710314
27.0,27,164.468522
27.0,27,166.79841
23.0,23,168.814741
12.0,12,169.946797
11.0,11,170.950277
27.0,27,173.217821
21.0,21,174.959621
27.0,27,177.272523
25.0,25,179.18178
11.0,11,180.092799
20.0,20,181.88368
10.0,10,182.576896
20.0,20,184.013077
21.0,21,185.755316
66.0,66,191.698835
16.0,16,192.98129
18.0,18,194.661397
54.0,54,199.728652
15.0,15,201.087895
20.0,20,202.881578
32.0,32,205.825939
20.0,20,207.612894
35.0,35,210.551375
23.0,23,212.622733
12.0,12,213.619685
21.0,21,215.555257
22.0,22,217.527107
37.0,37,220.69328
40.0,40,224.274855
15.0,15,225.547532
21.0,21,227.467074
39.0,39,230.822097
47.0,47,235.170169
14.0,14,236.328271
30.0,30,239.07525
40.0,40,242.711656
27.0,27,245.027217
23.0,23,246.964197
11.0,11,247.878809
54.0,54,252.581658
14.0,14,253.718733
18.0,18,255.393991
14.0,14,256.585191
27.0,27,258.84557
17.0,17,260.205277
31.0,31,263.167956
77.0,77,269.859448
18.0,18,271.469418
9.0,9,272.281056
18.0,18,273.891423
12.0,12,274.96478
47.0,47,278.939032
12.0,12,280.073534
14.0,14,281.361828
19.0,19,282.909659
14.0,14,284.194893
26.0,26,286.442559
19.0,19,288.126472
12.0,12,289.192332
36.0,36,292.307275
91.0,91,300.802432
35.0,35,303.873043
15.0,15,305.220781
11.0,11,306.240357
27.0,27,308.786299
42.0,42,312.657639
33.0,33,315.296561
30.0,30,317.721046
19.0,19,319.221806
36.0,36,322.456788
38.0,38,325.988946
11.0,11,326.953677
31.0,31,329.68555
12.0,12,330.716439
25.0,25,332.846175
33.0,33,335.95266
29.0,29,338.792337
