% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19799
2,200,-197.5,39547
2,300,-180.7,57619
2,400,-166.5,74266
2,500,-134.3,87698
2,600,-127.5,100444
2,700,-151.4,115586
2,800,-127.9,128373
2,900,-110.6,139428
2,1000,-105.8,150007
2,1100,-106.0,160603
2,1200,-103.4,170947
2,1300,-113.5,182296
2,1400,-107.9,193090
2,1500,-103.7,203463
2,1600,-106.6,214121
2,1700,-105.3,224655
2,1800,-108.5,235505
2,1900,-109.3,246432
2,2000,-116.4,258067
2,2100,-113.1,269380
2,2200,-109.4,280321
2,2300,-102.3,290552
