% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19799
2,200,-200.0,39799
2,300,-198.2,59623
2,400,-170.3,76653
2,500,-146.3,91285
2,600,-116.5,102932
2,700,-107.1,113643
2,800,-118.9,125536
2,900,-112.9,136824
2,1000,-115.1,148335
2,1100,-118.5,160187
2,1200,-112.7,171456
2,1300,-106.0,182059
2,1400,-103.2,192380
2,1500,-104.5,202831
2,1600,-104.8,213312
2,1700,-106.6,223971
2,1800,-107.7,234742
2,1900,-114.3,246170
2,2000,-109.2,257086
2,2100,-104.3,267516
2,2200,-102.6,277772
2,2300,-100.8,287848
2,2400,-102.1,298055
