# {"t_start": 1599132814.106368, "env_id": "CartPole-v0"} 
r,l,t
42.0,42,20.686501
65.0,65,20.842608
18.0,18,20.883462
14.0,14,20.915432
18.0,18,20.965555
33.0,33,21.044078
23.0,23,21.108016
36.0,36,21.209039
53.0,53,21.32444
10.0,10,21.344022
18.0,18,21.379268
17.0,17,21.411837
32.0,32,21.505688
19.0,19,21.557725
24.0,24,21.617373
17.0,17,21.661568
18.0,18,21.713919
38.0,38,21.818687
18.0,18,21.860116
29.0,29,21.932007
54.0,54,22.068833
83.0,83,22.275757
22.0,22,22.318916
21.0,21,22.342669
20.0,20,22.365691
19.0,19,22.383613
37.0,37,22.420399
14.0,14,22.434261
13.0,13,22.447508
14.0,14,22.47546
9.0,9,22.497629
10.0,10,22.524661
13.0,13,22.56571
19.0,19,22.618228
11.0,11,22.646609
11.0,11,22.683266
33.0,33,22.776899
12.0,12,22.811476
11.0,11,22.845086
43.0,43,24.456231
20.0,20,26.255778
18.0,18,27.820627
17.0,17,29.444339
10.0,10,30.394413
25.0,25,32.93595
17.0,17,34.788822
27.0,27,37.818093
33.0,33,41.384897
20.0,20,43.706622
18.0,18,45.697693
15.0,15,47.22197
11.0,11,48.373715
11.0,11,49.565339
9.0,9,50.443688
16.0,16,52.096458
12.0,12,53.363429
22.0,22,55.892793
19.0,19,57.707536
51.0,51,62.96875
11.0,11,64.135406
20.0,20,66.024533
28.0,28,68.865521
20.0,20,71.010063
18.0,18,72.804232
18.0,18,74.738463
24.0,24,77.120022
15.0,15,78.470595
10.0,10,79.493242
22.0,22,81.939283
13.0,13,83.139082
13.0,13,84.431756
15.0,15,85.954544
15.0,15,87.437086
11.0,11,88.517874
12.0,12,89.653227
19.0,19,91.700279
14.0,14,92.7374
20.0,20,94.41858
20.0,20,96.447283
52.0,52,101.974915
9.0,9,102.759602
24.0,24,105.293672
31.0,31,108.589101
35.0,35,112.429927
23.0,23,115.174274
22.0,22,117.317962
15.0,15,118.67334
15.0,15,120.220905
23.0,23,122.508044
29.0,29,125.509597
13.0,13,126.805682
12.0,12,128.076825
19.0,19,130.009081
46.0,46,134.761923
17.0,17,136.529896
61.0,61,142.561177
37.0,37,146.330227
13.0,13,147.567881
13.0,13,148.877967
16.0,16,150.465313
110.0,110,161.573258
12.0,12,162.780087
33.0,33,166.137611
16.0,16,167.765882
11.0,11,169.043759
17.0,17,170.91289
58.0,58,176.605343
12.0,12,177.828892
19.0,19,179.787131
27.0,27,182.731561
17.0,17,184.50073
12.0,12,185.749117
24.0,24,188.483897
31.0,31,191.920325
12.0,12,193.273607
24.0,24,195.751721
11.0,11,196.849476
15.0,15,198.43694
40.0,40,202.485121
26.0,26,205.09095
43.0,43,209.355609
38.0,38,212.799046
48.0,48,217.826566
14.0,14,219.341927
14.0,14,220.736164
23.0,23,223.03613
13.0,13,224.445679
51.0,51,229.804846
36.0,36,233.662519
12.0,12,234.874077
13.0,13,236.245717
19.0,19,238.217746
12.0,12,239.342212
21.0,21,241.428885
13.0,13,242.656939
15.0,15,244.19392
48.0,48,248.474336
22.0,22,250.654982
37.0,37,254.3372
13.0,13,255.681806
14.0,14,257.035553
28.0,28,259.880084
72.0,72,267.063078
38.0,38,270.867195
21.0,21,273.135886
15.0,15,274.651827
13.0,13,276.027011
12.0,12,277.290293
37.0,37,280.70617
22.0,22,282.906513
32.0,32,286.124719
19.0,19,288.132521
43.0,43,292.648157
12.0,12,293.976047
31.0,31,297.214413
29.0,29,300.172528
11.0,11,301.293583
42.0,42,305.257611
38.0,38,308.967318
21.0,21,310.904579
12.0,12,312.032362
12.0,12,313.22563
34.0,34,316.557379
21.0,21,318.684209
11.0,11,319.762415
24.0,24,322.181765
22.0,22,324.176629
36.0,36,328.245588
76.0,76,335.581399
22.0,22,337.870963
15.0,15,339.496869
23.0,23,341.817477
15.0,15,343.444965
15.0,15,344.892874
18.0,18,346.882945
85.0,85,355.392768
48.0,48,360.429761
30.0,30,363.403352
9.0,9,364.30676
18.0,18,366.045252
25.0,25,368.665716
12.0,12,369.978717
12.0,12,371.259114
12.0,12,372.446947
12.0,12,373.682445
24.0,24,376.009928
25.0,25,378.482036
16.0,16,380.00797
11.0,11,381.150286
26.0,26,383.688653
24.0,24,386.088789
24.0,24,388.471116
17.0,17,390.14138
44.0,44,394.618381
33.0,33,398.035539
14.0,14,399.58955
17.0,17,401.386188
10.0,10,402.354596
34.0,34,405.876287
10.0,10,406.932288
33.0,33,410.573735
15.0,15,412.041221
32.0,32,415.369748
14.0,14,416.77212
25.0,25,419.373318
34.0,34,422.824745
38.0,38,426.563779
25.0,25,429.179349
26.0,26,431.749158
27.0,27,434.601278
15.0,15,436.120496
18.0,18,437.927475
21.0,21,439.719721
79.0,79,447.472276
46.0,46,452.422155
13.0,13,453.845132
29.0,29,456.868021
21.0,21,458.924126
35.0,35,462.689746
11.0,11,463.797084
12.0,12,465.063957
12.0,12,466.238282
19.0,19,468.297806
28.0,28,471.227053
30.0,30,474.353814
26.0,26,477.093558
121.0,121,489.136288
20.0,20,491.051292
24.0,24,493.363856
37.0,37,496.770115
46.0,46,501.262877
19.0,19,503.154661
50.0,50,508.370898
18.0,18,510.238613
15.0,15,511.785634
56.0,56,517.227506
13.0,13,518.541282
21.0,21,520.538976
13.0,13,521.948474
16.0,16,523.651745
24.0,24,526.21413
17.0,17,528.30499
12.0,12,529.642166
13.0,13,531.139875
13.0,13,532.50982
27.0,27,535.516463
28.0,28,538.472304
18.0,18,540.451028
41.0,41,544.848311
36.0,36,548.66759
53.0,53,554.041738
19.0,19,556.160432
40.0,40,560.227506
34.0,34,563.561115
21.0,21,565.820701
12.0,12,567.170955
11.0,11,568.171895
73.0,73,575.836629
23.0,23,578.06801
20.0,20,579.935209
40.0,40,583.902987
43.0,43,588.453564
22.0,22,590.931362
34.0,34,594.488519
37.0,37,598.415792
20.0,20,600.455378
24.0,24,603.133198
25.0,25,605.872408
12.0,12,607.121425
12.0,12,608.5007
11.0,11,609.603856
25.0,25,611.89434
50.0,50,616.765109
20.0,20,618.773115
18.0,18,620.458771
42.0,42,624.778352
65.0,65,631.259745
20.0,20,633.421999
24.0,24,635.872648
38.0,38,639.634446
14.0,14,640.869985
11.0,11,642.037975
12.0,12,643.228175
29.0,29,646.173976
40.0,40,650.270991
10.0,10,651.322979
22.0,22,653.611797
26.0,26,656.450297
23.0,23,658.875628
55.0,55,664.230919
36.0,36,667.958004
38.0,38,671.665487
26.0,26,674.358218
12.0,12,675.577283
15.0,15,677.022009
9.0,9,678.012553
28.0,28,680.842688
22.0,22,683.156761
24.0,24,685.299334
55.0,55,690.708283
22.0,22,693.185118
20.0,20,695.191382
17.0,17,696.684554
15.0,15,698.322978
27.0,27,701.052468
15.0,15,702.537363
20.0,20,704.501719
22.0,22,706.479941
51.0,51,711.850365
27.0,27,714.220591
15.0,15,715.681511
13.0,13,716.999631
28.0,28,719.923833
12.0,12,721.209646
15.0,15,722.66439
77.0,77,730.378762
49.0,49,735.516799
25.0,25,738.208457
34.0,34,741.686849
13.0,13,742.922812
48.0,48,747.861144
31.0,31,751.073837
20.0,20,753.174415
21.0,21,755.520152
16.0,16,757.095638
20.0,20,759.234051
12.0,12,760.548508
16.0,16,762.031456
12.0,12,763.174569
30.0,30,766.096449
23.0,23,768.301974
34.0,34,771.903129
23.0,23,774.287048
11.0,11,775.420918
15.0,15,776.973156
17.0,17,778.738303
12.0,12,779.955878
32.0,32,783.293239
16.0,16,784.924136
11.0,11,786.062693
24.0,24,788.622282
25.0,25,791.177176
42.0,42,795.712992
56.0,56,801.545877
56.0,56,807.482095
18.0,18,809.534831
36.0,36,813.408114
13.0,13,814.684032
16.0,16,816.338768
28.0,28,819.390982
14.0,14,820.797024
28.0,28,823.695194
63.0,63,830.058395
20.0,20,831.838412
14.0,14,833.266338
23.0,23,835.771471
58.0,58,841.873166
45.0,45,846.409087
57.0,57,852.357977
15.0,15,853.882784
18.0,18,855.585574
17.0,17,857.300177
13.0,13,858.587513
25.0,25,861.309268
30.0,30,864.369205
26.0,26,867.008024
27.0,27,869.617661
19.0,19,871.516377
12.0,12,872.712144
15.0,15,874.353065
18.0,18,876.143514
54.0,54,881.795714
37.0,37,885.414588
17.0,17,886.991714
19.0,19,888.816911
12.0,12,890.067219
29.0,29,892.729063
25.0,25,895.353482
14.0,14,896.704579
58.0,58,902.514006
19.0,19,904.478981
12.0,12,905.639122
27.0,27,908.324355
20.0,20,910.305691
23.0,23,912.595516
26.0,26,915.34192
20.0,20,917.41144
24.0,24,919.866692
17.0,17,921.695603
13.0,13,922.990655
15.0,15,924.530613
70.0,70,931.699552
29.0,29,934.832706
18.0,18,936.720554
30.0,30,939.441872
17.0,17,941.273264
31.0,31,944.529274
31.0,31,947.632368
43.0,43,952.006232
24.0,24,954.429062
21.0,21,956.58787
30.0,30,959.443168
49.0,49,964.294877
33.0,33,967.552771
55.0,55,972.577856
20.0,20,974.538538
32.0,32,977.216918
14.0,14,978.481432
9.0,9,979.342577
21.0,21,981.489954
81.0,81,988.74255
28.0,28,991.572488
18.0,18,993.30008
27.0,27,996.007475
30.0,30,998.953196
20.0,20,1000.749449
14.0,14,1002.083385
51.0,51,1006.973733
57.0,57,1012.185953
24.0,24,1014.514477
51.0,51,1019.254149
12.0,12,1020.414975
12.0,12,1021.557454
14.0,14,1022.848438
23.0,23,1025.088465
15.0,15,1026.596166
70.0,70,1033.28932
11.0,11,1034.275253
42.0,42,1038.035552
13.0,13,1039.348134
21.0,21,1041.324821
32.0,32,1044.251901
43.0,43,1048.032889
17.0,17,1049.692373
31.0,31,1052.593909
30.0,30,1055.560485
18.0,18,1057.045012
55.0,55,1062.499894
9.0,9,1063.395738
14.0,14,1064.837368
14.0,14,1065.976192
23.0,23,1068.058936
47.0,47,1072.378109
12.0,12,1073.422499
49.0,49,1078.124564
38.0,38,1081.893526
13.0,13,1083.193464
21.0,21,1084.977871
18.0,18,1086.868227
20.0,20,1088.938206
30.0,30,1092.11998
32.0,32,1095.235231
38.0,38,1098.797017
42.0,42,1102.268687
16.0,16,1103.857645
11.0,11,1104.753853
14.0,14,1105.897408
21.0,21,1107.824293
45.0,45,1111.686154
50.0,50,1116.361928
55.0,55,1121.443411
16.0,16,1122.884943
12.0,12,1123.98539
28.0,28,1126.61902
23.0,23,1128.721597
12.0,12,1129.800719
14.0,14,1130.874489
37.0,37,1134.301189
20.0,20,1136.124872
15.0,15,1137.553661
18.0,18,1139.288975
29.0,29,1141.992017
17.0,17,1143.319128
49.0,49,1147.563068
10.0,10,1148.355447
14.0,14,1149.58597
18.0,18,1151.265439
17.0,17,1152.705974
17.0,17,1154.292532
17.0,17,1155.759639
12.0,12,1156.785697
36.0,36,1160.121608
20.0,20,1161.665125
35.0,35,1164.493747
21.0,21,1166.08251
18.0,18,1167.543903
28.0,28,1169.919116
18.0,18,1171.379119
25.0,25,1173.54204
16.0,16,1174.917423
27.0,27,1176.836124
20.0,20,1178.422158
19.0,19,1180.080132
16.0,16,1181.357146
14.0,14,1182.491987
26.0,26,1184.561058
26.0,26,1186.40351
47.0,47,1190.12203
14.0,14,1191.202201
20.0,20,1192.806055
16.0,16,1194.108968
15.0,15,1195.335309
23.0,23,1197.203852
92.0,92,1204.736803
43.0,43,1208.074587
19.0,19,1209.59397
14.0,14,1210.844686
18.0,18,1212.280143
115.0,115,1220.814157
23.0,23,1222.558332
17.0,17,1223.61815
31.0,31,1226.139793
16.0,16,1227.425871
14.0,14,1228.451479
35.0,35,1231.028929
123.0,123,1240.760023
12.0,12,1241.754748
70.0,70,1247.291693
76.0,76,1253.388567
13.0,13,1254.501561
12.0,12,1255.57042
16.0,16,1256.440988
12.0,12,1257.397061
68.0,68,1262.576842
106.0,106,1271.760772
21.0,21,1273.437098
36.0,36,1276.402003
12.0,12,1277.472331
16.0,16,1278.952731
79.0,79,1286.874022
48.0,48,1291.4635
11.0,11,1292.544807
64.0,64,1299.040848
82.0,82,1307.645042
30.0,30,1310.84606
26.0,26,1313.805586
23.0,23,1316.247031
27.0,27,1319.096847
13.0,13,1320.366188
12.0,12,1321.509606
88.0,88,1330.458909
15.0,15,1331.924606
74.0,74,1339.828428
12.0,12,1340.98861
23.0,23,1343.280113
97.0,97,1353.319802
17.0,17,1354.990317
30.0,30,1357.918664
26.0,26,1360.619838
76.0,76,1368.390181
103.0,103,1378.547552
37.0,37,1382.334271
23.0,23,1384.502775
18.0,18,1386.376952
98.0,98,1396.238687
181.0,181,1414.705853
32.0,32,1417.805312
22.0,22,1420.131425
9.0,9,1421.028884
35.0,35,1424.624188
12.0,12,1425.938318
14.0,14,1427.233831
12.0,12,1428.475564
130.0,130,1441.854117
33.0,33,1445.130516
13.0,13,1446.401933
14.0,14,1447.785769
35.0,35,1451.034531
45.0,45,1455.672706
22.0,22,1457.846402
75.0,75,1465.385459
16.0,16,1466.92508
62.0,62,1473.147421
64.0,64,1479.787781
49.0,49,1484.787112
22.0,22,1486.851857
51.0,51,1492.107361
84.0,84,1501.031377
19.0,19,1503.050977
27.0,27,1505.631995
17.0,17,1507.322285
17.0,17,1508.954451
13.0,13,1510.248982
16.0,16,1511.900975
47.0,47,1516.790579
20.0,20,1518.776832
47.0,47,1523.719359
126.0,126,1536.584874
15.0,15,1537.919008
46.0,46,1542.787758
12.0,12,1543.981954
15.0,15,1545.6974
68.0,68,1552.857847
12.0,12,1554.017038
20.0,20,1556.039559
28.0,28,1558.859121
44.0,44,1563.481201
16.0,16,1565.019174
10.0,10,1566.003447
100.0,100,1576.411702
20.0,20,1578.54973
17.0,17,1580.257198
25.0,25,1582.811098
11.0,11,1583.956369
16.0,16,1585.520305
28.0,28,1588.190892
43.0,43,1592.720186
16.0,16,1594.525686
14.0,14,1595.850571
18.0,18,1597.754187
19.0,19,1599.838425
18.0,18,1601.727083
51.0,51,1607.097502
19.0,19,1608.923365
56.0,56,1614.881342
57.0,57,1620.89519
35.0,35,1624.598533
34.0,34,1628.028071
18.0,18,1629.804109
15.0,15,1631.329092
40.0,40,1635.332364
12.0,12,1636.565118
53.0,53,1641.710284
43.0,43,1645.778038
41.0,41,1649.83154
33.0,33,1653.049034
27.0,27,1655.834189
39.0,39,1659.828249
18.0,18,1661.551593
35.0,35,1664.98356
69.0,69,1671.640895
10.0,10,1672.650407
10.0,10,1673.529661
22.0,22,1675.568149
19.0,19,1677.691437
16.0,16,1679.399716
19.0,19,1681.267649
153.0,153,1696.651815
25.0,25,1699.322338
74.0,74,1706.660974
35.0,35,1710.176761
19.0,19,1712.151914
29.0,29,1715.453078
33.0,33,1718.634164
15.0,15,1720.389874
15.0,15,1722.163337
86.0,86,1730.994048
60.0,60,1736.825536
64.0,64,1743.260228
42.0,42,1747.598087
13.0,13,1748.917353
115.0,115,1760.810453
91.0,91,1770.081111
53.0,53,1775.054812
10.0,10,1776.03519
41.0,41,1780.204358
33.0,33,1783.682361
57.0,57,1789.444262
16.0,16,1791.050416
29.0,29,1794.294986
41.0,41,1798.882204
68.0,68,1805.910349
51.0,51,1811.054785
21.0,21,1813.113219
31.0,31,1816.209039
15.0,15,1817.66103
117.0,117,1829.697544
82.0,82,1837.91645
80.0,80,1846.412167
9.0,9,1847.397209
45.0,45,1851.949849
9.0,9,1852.757939
11.0,11,1853.847361
83.0,83,1862.403394
13.0,13,1863.792376
18.0,18,1865.566682
10.0,10,1866.670496
60.0,60,1872.745576
17.0,17,1874.617613
35.0,35,1878.305782
44.0,44,1882.805402
38.0,38,1886.82605
14.0,14,1888.32249
17.0,17,1889.978762
53.0,53,1895.467224
35.0,35,1898.908212
98.0,98,1909.057286
52.0,52,1914.597568
38.0,38,1918.612054
14.0,14,1920.125181
25.0,25,1922.69867
13.0,13,1924.063497
32.0,32,1927.348546
25.0,25,1930.104137
32.0,32,1933.543309
60.0,60,1939.579075
81.0,81,1947.659717
30.0,30,1950.637666
40.0,40,1954.435503
35.0,35,1958.004259
25.0,25,1960.432034
29.0,29,1963.613383
12.0,12,1964.86083
14.0,14,1966.300558
24.0,24,1968.893071
24.0,24,1971.492581
31.0,31,1974.595982
35.0,35,1978.093605
20.0,20,1980.041358
23.0,23,1982.325426
17.0,17,1984.048785
12.0,12,1985.277076
18.0,18,1987.124449
109.0,109,1997.819325
27.0,27,2000.507776
12.0,12,2001.776878
14.0,14,2003.309478
14.0,14,2004.728307
47.0,47,2009.453493
29.0,29,2012.514084
17.0,17,2014.228718
10.0,10,2015.214003
77.0,77,2023.525047
53.0,53,2029.100391
10.0,10,2030.183907
16.0,16,2031.838716
18.0,18,2033.697212
32.0,32,2036.912589
19.0,19,2038.793445
36.0,36,2042.532776
11.0,11,2043.574788
108.0,108,2054.229402
15.0,15,2055.775526
125.0,125,2068.6076
83.0,83,2077.138311
21.0,21,2079.193329
21.0,21,2081.277114
16.0,16,2082.708136
98.0,98,2093.245453
15.0,15,2094.957631
15.0,15,2096.716915
25.0,25,2099.433817
13.0,13,2100.808985
15.0,15,2102.405226
42.0,42,2106.583476
24.0,24,2109.083843
33.0,33,2112.412688
12.0,12,2113.605559
53.0,53,2118.994527
18.0,18,2121.080165
13.0,13,2122.498169
25.0,25,2124.882576
38.0,38,2128.712469
18.0,18,2130.502375
16.0,16,2132.18289
58.0,58,2138.290303
15.0,15,2139.873132
12.0,12,2140.912462
39.0,39,2145.152454
17.0,17,2147.034842
13.0,13,2148.56621
12.0,12,2149.8306
69.0,69,2157.03391
19.0,19,2158.949237
10.0,10,2160.010795
50.0,50,2165.344815
81.0,81,2173.773498
43.0,43,2178.282287
12.0,12,2179.610263
109.0,109,2190.516756
63.0,63,2196.734445
97.0,97,2206.716921
127.0,127,2219.783589
25.0,25,2222.442791
71.0,71,2229.69543
14.0,14,2231.036284
16.0,16,2232.649306
11.0,11,2233.570756
11.0,11,2234.561198
12.0,12,2235.509821
49.0,49,2240.43512
8.0,8,2241.278065
26.0,26,2243.865609
69.0,69,2251.039239
43.0,43,2255.720319
