% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19799
2,200,-200.0,39799
2,300,-196.3,59425
2,400,-188.2,78250
2,500,-150.6,93315
2,600,-131.5,106462
2,700,-153.5,121808
2,800,-137.0,135510
2,900,-122.0,147705
2,1000,-113.6,159060
2,1100,-107.1,169770
2,1200,-120.9,181859
2,1300,-125.7,194430
2,1400,-110.2,205446
2,1500,-112.9,216735
2,1600,-111.9,227923
2,1700,-104.6,238381
2,1800,-108.7,249254
2,1900,-101.8,259433
2,2000,-103.3,269764
2,2100,-101.2,279883
2,2200,-101.6,290042
