% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19799
2,200,-199.3,39728
2,300,-195.2,59246
2,400,-178.4,77090
2,500,-137.2,90815
2,600,-126.0,103418
2,700,-121.6,115583
2,800,-127.4,128326
2,900,-123.4,140670
2,1000,-136.0,154273
2,1100,-116.0,165874
2,1200,-110.7,176942
2,1300,-114.8,188424
2,1400,-109.4,199368
2,1500,-108.0,210171
2,1600,-110.2,221194
2,1700,-109.3,232121
2,1800,-120.6,244176
2,1900,-104.4,254620
2,2000,-108.6,265475
2,2100,-105.2,275998
2,2200,-107.4,286736
2,2300,-106.0,297338
