% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19799
2,200,-199.0,39698
2,300,-174.9,57188
2,400,-162.9,73475
2,500,-139.9,87466
2,600,-120.8,99547
2,700,-149.4,114482
2,800,-123.8,126860
2,900,-113.6,138220
2,1000,-103.4,148557
2,1100,-103.7,158930
2,1200,-106.4,169570
2,1300,-116.1,181183
2,1400,-113.9,192569
2,1500,-104.2,202986
2,1600,-104.1,213394
2,1700,-107.7,224166
2,1800,-104.5,234614
2,1900,-104.0,245015
2,2000,-111.8,256191
2,2100,-105.3,266720
2,2200,-103.8,277105
2,2300,-109.0,288004
2,2400,-107.4,298739
