% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19799
2,200,-197.7,39570
2,300,-198.4,59410
2,400,-196.3,79041
2,500,-192.3,98267
2,600,-189.4,117210
2,700,-199.3,137143
2,800,-192.1,156357
2,900,-195.6,175922
2,1000,-189.2,194837
2,1100,-195.3,214369
2,1200,-191.9,233560
2,1300,-195.2,253079
2,1400,-190.3,272109
2,1500,-191.6,291274
