% time spent exploring,episodes,mean 100 episode reward,steps
94,100,23.1,2290
88,200,25.8,4875
80,300,29.7,7848
75,400,23.0,10148
69,500,21.4,12284
58,600,45.0,16787
49,700,37.4,20525
31,800,72.5,27774
16,900,63.8,34157
2,1000,147.7,48923
2,1100,67.4,55666
2,1200,54.0,61061
2,1300,29.5,64008
2,1400,109.8,74992
2,1500,123.5,87340
2,1600,175.8,104918
2,1700,193.9,124308
2,1800,172.1,141514
2,1900,180.5,159566
2,2000,179.5,177516
2,2100,178.6,195372
2,2200,180.9,213463
2,2300,123.0,225762
2,2400,170.0,242757
2,2500,154.5,258211
2,2600,141.5,272358
2,2700,193.7,291731
2,2800,197.8,311516
2,2900,177.1,329229
2,3000,183.8,347609
2,3100,184.9,366100
2,3200,157.9,381888
2,3300,143.5,396240
