% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19799
2,200,-199.4,39739
2,300,-196.7,59406
2,400,-166.8,76089
2,500,-163.8,92471
2,600,-138.8,106353
2,700,-117.0,118050
2,800,-128.0,130847
2,900,-121.4,142984
2,1000,-131.7,156151
2,1100,-121.5,168297
2,1200,-118.7,180168
2,1300,-112.1,191378
2,1400,-123.6,203743
2,1500,-110.0,214739
2,1600,-117.8,226514
2,1700,-104.1,236923
2,1800,-108.1,247737
2,1900,-114.9,259228
2,2000,-121.2,271353
2,2100,-124.0,283752
2,2200,-107.8,294535
