# {"t_start": 1598984492.6788468, "env_id": "CartPole-v0"} 
r,l,t
19.0,19,20.458564
15.0,15,20.490532
14.0,14,20.526565
27.0,27,20.589075
14.0,14,20.620966
43.0,43,20.717258
13.0,13,20.748379
26.0,26,20.798789
23.0,23,20.841032
11.0,11,20.860507
15.0,15,20.896243
19.0,19,20.943261
16.0,16,20.981369
17.0,17,21.01466
42.0,42,21.102737
37.0,37,21.171462
19.0,19,21.204481
63.0,63,21.327608
28.0,28,21.395485
11.0,11,21.423475
12.0,12,21.458903
15.0,15,21.50125
21.0,21,21.568101
10.0,10,21.595972
20.0,20,21.638889
19.0,19,21.679271
23.0,23,21.751467
13.0,13,21.787496
17.0,17,21.833849
17.0,17,21.882858
22.0,22,21.941463
26.0,26,22.03572
18.0,18,22.105199
30.0,30,22.183082
23.0,23,22.233414
20.0,20,22.2805
21.0,21,22.338069
46.0,46,22.46642
16.0,16,22.514267
13.0,13,22.555657
32.0,32,22.649287
18.0,18,22.698661
11.0,11,22.724172
42.0,42,22.830711
26.0,26,23.787222
12.0,12,24.647556
15.0,15,25.637277
16.0,16,26.94421
17.0,17,28.175941
15.0,15,29.217455
27.0,27,31.16696
12.0,12,31.883133
16.0,16,32.752125
21.0,21,34.07828
22.0,22,35.429753
12.0,12,36.245918
19.0,19,37.671764
38.0,38,40.32667
51.0,51,43.933537
44.0,44,47.018382
16.0,16,48.161201
21.0,21,49.818309
33.0,33,52.067217
24.0,24,53.602091
11.0,11,54.363737
18.0,18,55.535006
11.0,11,56.278057
101.0,101,63.172084
14.0,14,64.318471
22.0,22,65.84867
31.0,31,67.856594
28.0,28,69.760248
12.0,12,70.662946
11.0,11,71.474397
25.0,25,73.113055
20.0,20,74.536341
11.0,11,75.278356
21.0,21,76.642577
19.0,19,78.011456
9.0,9,78.61232
37.0,37,80.894096
20.0,20,82.256675
23.0,23,83.751816
15.0,15,84.838264
31.0,31,86.815841
16.0,16,87.908953
41.0,41,90.628269
13.0,13,91.551041
17.0,17,92.77493
11.0,11,93.56846
22.0,22,95.17657
21.0,21,96.668901
39.0,39,99.322976
13.0,13,100.224373
48.0,48,103.472151
23.0,23,105.273841
37.0,37,107.960388
24.0,24,109.58889
17.0,17,110.744113
11.0,11,111.568824
22.0,22,113.27607
13.0,13,114.187524
14.0,14,115.250485
15.0,15,116.214055
14.0,14,117.114692
23.0,23,118.73129
30.0,30,120.766811
22.0,22,121.968064
18.0,18,123.219203
28.0,28,125.101232
14.0,14,126.142285
14.0,14,127.091744
14.0,14,128.197283
33.0,33,130.489679
36.0,36,132.930377
15.0,15,133.930501
14.0,14,134.824829
42.0,42,137.866056
34.0,34,140.420083
14.0,14,141.397794
47.0,47,144.601556
25.0,25,146.366081
25.0,25,148.274061
104.0,104,155.540444
