# {"t_start": 1599240814.659672, "env_id": "CartPole-v0"} 
r,l,t
53.0,53,15.820842
14.0,14,15.841924
21.0,21,15.87173
11.0,11,15.886815
13.0,13,15.904824
31.0,31,16.198466
14.0,14,16.217929
21.0,21,16.24508
10.0,10,16.260299
9.0,9,16.273279
14.0,14,16.294192
18.0,18,16.444618
23.0,23,16.47659
12.0,12,16.490797
14.0,14,16.50706
12.0,12,16.521445
12.0,12,16.537054
19.0,19,16.813519
14.0,14,16.831057
16.0,16,16.85039
20.0,20,16.873565
18.0,18,16.895764
19.0,19,16.91887
14.0,14,17.186613
25.0,25,17.212391
31.0,31,17.244889
15.0,15,17.262967
13.0,13,17.276804
25.0,25,17.304711
25.0,25,17.460722
18.0,18,17.481901
19.0,19,17.504561
21.0,21,17.533451
11.0,11,17.549743
16.0,16,17.819838
18.0,18,17.842074
19.0,19,17.86573
22.0,22,17.89179
11.0,11,17.905672
13.0,13,17.921063
18.0,18,18.078301
19.0,19,18.122773
21.0,21,18.175534
21.0,21,18.330598
15.0,15,18.352478
25.0,25,18.385654
52.0,52,18.654519
12.0,12,18.693415
28.0,28,18.728302
18.0,18,18.749901
18.0,18,18.77161
15.0,15,18.790702
28.0,28,21.027997
44.0,44,27.240318
13.0,13,28.761666
70.0,70,38.035817
19.0,19,40.446859
33.0,33,45.80776
22.0,22,49.0096
15.0,15,51.044211
29.0,29,55.351871
12.0,12,56.920685
13.0,13,58.673177
13.0,13,60.663667
40.0,40,66.128248
18.0,18,68.677824
22.0,22,71.755516
11.0,11,73.356607
16.0,16,75.696519
53.0,53,83.630409
27.0,27,87.399347
13.0,13,88.963791
11.0,11,90.522856
14.0,14,92.616286
33.0,33,97.196152
22.0,22,99.99749
17.0,17,102.619794
44.0,44,109.570333
9.0,9,111.032808
24.0,24,113.924215
10.0,10,115.241831
12.0,12,116.833286
23.0,23,120.095624
27.0,27,124.158878
53.0,53,131.815349
14.0,14,133.758022
12.0,12,135.481174
22.0,22,138.776156
17.0,17,141.330868
15.0,15,143.23717
