# {"t_start": 1599501044.140338, "env_id": "CartPole-v0"} 
r,l,t
17.0,17,4.010214
38.0,38,4.050694
12.0,12,4.065518
16.0,16,4.082005
19.0,19,4.102894
42.0,42,4.147082
22.0,22,4.171323
19.0,19,4.192899
21.0,21,4.217592
11.0,11,4.230328
16.0,16,4.247616
29.0,29,4.281317
30.0,30,4.317164
15.0,15,4.336089
16.0,16,4.358593
14.0,14,4.37535
13.0,13,4.398816
15.0,15,4.42188
27.0,27,4.464413
10.0,10,4.479321
21.0,21,4.515999
30.0,30,4.594159
30.0,30,4.648291
30.0,30,4.681267
51.0,51,4.741038
18.0,18,4.760672
20.0,20,4.782382
32.0,32,4.824345
13.0,13,4.83933
33.0,33,4.879802
25.0,25,4.984713
13.0,13,5.013273
17.0,17,5.033264
23.0,23,5.058398
25.0,25,5.088792
44.0,44,5.263503
15.0,15,5.283137
21.0,21,5.309653
15.0,15,5.327855
23.0,23,5.356847
14.0,14,5.374349
10.0,10,5.397823
14.0,14,5.442908
30.0,30,5.492202
13.0,13,5.511585
13.0,13,5.530673
14.0,14,6.168248
20.0,20,6.841651
11.0,11,7.265865
26.0,26,8.188797
41.0,41,9.544712
19.0,19,10.179597
26.0,26,11.155699
24.0,24,12.017879
27.0,27,12.938919
44.0,44,14.476836
15.0,15,15.007526
18.0,18,15.627308
44.0,44,17.191
13.0,13,17.512775
43.0,43,19.004271
11.0,11,19.402863
50.0,50,21.064567
27.0,27,21.890645
13.0,13,22.266713
13.0,13,22.685581
48.0,48,24.211736
18.0,18,24.800151
13.0,13,25.249017
44.0,44,26.631261
41.0,41,28.081822
10.0,10,28.360175
12.0,12,28.732482
13.0,13,29.128699
22.0,22,29.881561
17.0,17,30.417358
24.0,24,31.226631
17.0,17,31.769016
13.0,13,32.161752
15.0,15,32.737363
14.0,14,33.263214
21.0,21,33.948873
32.0,32,34.980383
27.0,27,35.8854
12.0,12,36.28461
18.0,18,36.828795
29.0,29,37.810005
18.0,18,38.361715
15.0,15,38.836574
27.0,27,39.828472
31.0,31,40.894975
15.0,15,41.388476
16.0,16,41.923686
15.0,15,42.438494
19.0,19,43.133465
19.0,19,43.772532
10.0,10,44.159585
15.0,15,44.731253
54.0,54,46.512327
11.0,11,46.873186
34.0,34,48.235972
30.0,30,49.24322
12.0,12,49.705201
24.0,24,50.520347
19.0,19,51.174774
13.0,13,51.648659
19.0,19,52.305873
16.0,16,52.87017
20.0,20,53.62573
14.0,14,54.066221
13.0,13,54.49215
10.0,10,54.879574
10.0,10,55.248231
26.0,26,56.104561
9.0,9,56.436805
60.0,60,58.42471
17.0,17,58.966673
23.0,23,59.751198
35.0,35,61.035977
14.0,14,61.482543
31.0,31,62.53508
24.0,24,63.432184
30.0,30,64.503373
39.0,39,65.827021
12.0,12,66.207158
49.0,49,67.768853
18.0,18,68.38211
10.0,10,68.663851
13.0,13,69.066199
11.0,11,69.429343
40.0,40,70.863295
13.0,13,71.236173
27.0,27,72.133134
51.0,51,73.85341
22.0,22,74.570747
37.0,37,75.901476
23.0,23,76.756784
11.0,11,77.174643
61.0,61,79.372501
16.0,16,79.863373
12.0,12,80.31173
22.0,22,81.159927
69.0,69,83.56254
22.0,22,84.272831
28.0,28,85.244227
9.0,9,85.593549
14.0,14,86.136404
22.0,22,86.785059
58.0,58,88.709687
29.0,29,89.660597
23.0,23,90.413775
27.0,27,91.263774
28.0,28,92.256208
31.0,31,93.477294
30.0,30,94.486909
22.0,22,95.159716
63.0,63,97.230923
65.0,65,99.238036
22.0,22,99.9708
26.0,26,100.774559
15.0,15,101.403195
14.0,14,101.85198
34.0,34,102.929166
104.0,104,106.204215
43.0,43,107.727288
17.0,17,108.238802
38.0,38,109.59463
42.0,42,110.965039
55.0,55,112.840581
37.0,37,113.993118
18.0,18,114.578342
27.0,27,115.448445
20.0,20,116.119803
13.0,13,116.531854
51.0,51,118.264196
20.0,20,118.896004
25.0,25,119.754224
27.0,27,120.64252
27.0,27,121.502206
19.0,19,122.062643
73.0,73,124.984502
66.0,66,127.047672
49.0,49,128.626817
23.0,23,129.404046
58.0,58,131.29739
16.0,16,131.874305
69.0,69,134.185885
21.0,21,134.969106
21.0,21,135.710093
24.0,24,136.41257
14.0,14,136.901288
59.0,59,139.04179
21.0,21,139.673858
48.0,48,141.174204
35.0,35,142.319804
23.0,23,143.090283
22.0,22,143.776699
12.0,12,144.163802
27.0,27,145.086086
38.0,38,146.39873
28.0,28,147.286087
11.0,11,147.60772
12.0,12,147.998172
21.0,21,148.741444
23.0,23,149.543203
31.0,31,150.548926
30.0,30,151.641599
70.0,70,154.104507
84.0,84,156.80441
18.0,18,157.373902
23.0,23,158.18818
14.0,14,158.634508
11.0,11,159.060201
27.0,27,159.950595
19.0,19,160.570957
82.0,82,163.209306
13.0,13,163.705866
25.0,25,164.407976
22.0,22,165.104198
30.0,30,165.999673
91.0,91,168.942838
20.0,20,169.514165
38.0,38,170.730572
40.0,40,172.119549
25.0,25,172.875831
61.0,61,174.866638
29.0,29,175.896182
15.0,15,176.403644
16.0,16,176.935305
13.0,13,177.392353
77.0,77,179.889117
34.0,34,180.964687
35.0,35,182.114917
81.0,81,184.886009
13.0,13,185.274904
14.0,14,185.734644
16.0,16,186.285626
49.0,49,187.925353
64.0,64,189.950115
14.0,14,190.414615
85.0,85,193.216903
15.0,15,193.579277
49.0,49,195.140663
87.0,87,197.966403
35.0,35,199.154659
28.0,28,199.967288
12.0,12,200.391034
28.0,28,201.386094
46.0,46,202.811622
22.0,22,203.495835
18.0,18,204.007339
13.0,13,204.479692
11.0,11,204.800549
12.0,12,205.141797
17.0,17,205.660108
14.0,14,206.150653
42.0,42,207.593466
17.0,17,208.159187
40.0,40,209.574094
29.0,29,210.479287
31.0,31,211.53112
51.0,51,213.400079
32.0,32,214.434756
17.0,17,214.9586
11.0,11,215.367066
23.0,23,216.226116
20.0,20,216.870259
26.0,26,217.785228
13.0,13,218.18368
17.0,17,218.722494
16.0,16,219.274951
12.0,12,219.719934
22.0,22,220.447022
36.0,36,221.61934
66.0,66,223.745864
31.0,31,224.819954
32.0,32,225.859547
61.0,61,227.868736
52.0,52,229.710165
28.0,28,230.710912
35.0,35,231.870442
20.0,20,232.584784
23.0,23,233.311084
20.0,20,233.937886
22.0,22,234.641349
70.0,70,236.861761
77.0,77,239.3811
23.0,23,240.13834
11.0,11,240.547715
15.0,15,241.052235
38.0,38,242.264081
27.0,27,243.373138
18.0,18,243.968634
27.0,27,245.04873
14.0,14,245.533952
20.0,20,246.111275
16.0,16,246.671627
24.0,24,247.458183
15.0,15,247.959578
72.0,72,250.38263
32.0,32,251.556646
60.0,60,253.455438
45.0,45,254.930036
12.0,12,255.348344
13.0,13,255.752951
19.0,19,256.404224
16.0,16,256.985726
66.0,66,259.217913
27.0,27,260.106617
33.0,33,261.201766
51.0,51,262.853699
11.0,11,263.199745
15.0,15,263.620077
120.0,120,267.841477
13.0,13,268.247345
34.0,34,269.546527
15.0,15,269.984303
15.0,15,270.44005
28.0,28,271.266527
16.0,16,271.801823
28.0,28,272.746261
26.0,26,273.694458
34.0,34,274.741508
17.0,17,275.283026
17.0,17,275.857838
13.0,13,276.433102
22.0,22,277.107166
13.0,13,277.522943
23.0,23,278.301483
16.0,16,278.798092
20.0,20,279.460065
28.0,28,280.338671
16.0,16,280.861833
12.0,12,281.360581
45.0,45,282.776394
18.0,18,283.489898
17.0,17,284.047547
17.0,17,284.611772
26.0,26,285.480273
15.0,15,285.989915
38.0,38,287.34297
20.0,20,288.118486
23.0,23,288.867128
23.0,23,289.732324
38.0,38,290.950615
29.0,29,291.942057
19.0,19,292.552453
9.0,9,292.915884
20.0,20,293.5629
19.0,19,294.155443
16.0,16,294.737155
51.0,51,296.470548
17.0,17,297.030875
36.0,36,298.322205
16.0,16,298.751921
16.0,16,299.311208
13.0,13,299.741465
24.0,24,300.630279
10.0,10,301.004516
13.0,13,301.457907
39.0,39,302.927525
23.0,23,303.701771
30.0,30,304.674352
14.0,14,305.13522
16.0,16,305.674829
21.0,21,306.350389
57.0,57,308.42125
19.0,19,309.031802
16.0,16,309.70468
19.0,19,310.331785
16.0,16,310.840621
9.0,9,311.096696
15.0,15,311.62406
13.0,13,312.081052
14.0,14,312.544656
25.0,25,313.433767
10.0,10,313.804647
10.0,10,314.12671
37.0,37,315.398011
14.0,14,315.85019
11.0,11,316.267498
21.0,21,317.061114
37.0,37,318.248152
16.0,16,318.755357
12.0,12,319.227594
12.0,12,319.672844
17.0,17,320.168447
22.0,22,320.989754
37.0,37,322.193109
62.0,62,324.322457
27.0,27,325.202373
19.0,19,325.88661
52.0,52,327.576961
23.0,23,328.300523
23.0,23,329.109435
26.0,26,329.960102
9.0,9,330.255284
20.0,20,330.985798
27.0,27,331.855187
16.0,16,332.555717
9.0,9,333.055503
16.0,16,334.233158
11.0,11,334.612627
11.0,11,335.047743
14.0,14,335.477509
15.0,15,336.158124
14.0,14,336.530444
16.0,16,337.095382
13.0,13,337.48968
15.0,15,338.087593
14.0,14,338.561762
15.0,15,339.022312
15.0,15,339.55785
11.0,11,339.844004
10.0,10,340.208002
48.0,48,341.820457
18.0,18,342.348526
13.0,13,342.814681
16.0,16,343.367435
14.0,14,343.823494
11.0,11,344.158849
22.0,22,344.973283
15.0,15,345.41097
13.0,13,345.849511
15.0,15,346.3665
14.0,14,346.927541
20.0,20,347.604594
19.0,19,348.294447
14.0,14,348.828881
10.0,10,349.220126
9.0,9,349.478848
47.0,47,351.608657
16.0,16,352.157278
19.0,19,352.845323
17.0,17,353.424604
17.0,17,353.949569
17.0,17,354.484086
40.0,40,355.734574
21.0,21,356.381703
26.0,26,357.187913
24.0,24,358.052767
22.0,22,358.740682
16.0,16,359.279581
17.0,17,359.825063
23.0,23,360.598277
17.0,17,361.144658
22.0,22,361.858459
21.0,21,362.572966
15.0,15,363.157767
12.0,12,363.599883
15.0,15,364.13857
13.0,13,364.535676
25.0,25,365.335165
24.0,24,366.102403
10.0,10,366.420224
21.0,21,367.087721
13.0,13,367.566081
21.0,21,368.316679
19.0,19,368.971935
17.0,17,369.50893
13.0,13,369.921952
15.0,15,370.412698
18.0,18,370.984905
24.0,24,371.763448
22.0,22,372.479746
10.0,10,372.855111
12.0,12,373.278375
23.0,23,374.14403
11.0,11,374.452414
13.0,13,374.855869
17.0,17,375.427267
20.0,20,376.088439
15.0,15,376.59573
16.0,16,377.187716
16.0,16,377.754682
14.0,14,378.188195
11.0,11,378.504865
10.0,10,378.819287
16.0,16,379.354705
15.0,15,379.866923
19.0,19,380.562944
21.0,21,381.161768
12.0,12,381.534101
30.0,30,382.499272
11.0,11,382.905237
37.0,37,384.034324
14.0,14,384.549608
10.0,10,384.799818
25.0,25,385.684729
17.0,17,386.299991
21.0,21,386.934602
13.0,13,387.336706
35.0,35,388.492434
12.0,12,388.943493
18.0,18,389.827881
14.0,14,390.428107
17.0,17,391.050396
37.0,37,392.410933
17.0,17,393.01668
12.0,12,393.46679
13.0,13,393.915985
48.0,48,395.524732
19.0,19,396.256634
78.0,78,398.841242
57.0,57,400.91435
11.0,11,401.328003
10.0,10,401.667345
29.0,29,402.634185
15.0,15,403.080604
24.0,24,403.848227
27.0,27,404.739811
15.0,15,405.24337
71.0,71,407.477769
15.0,15,407.963546
12.0,12,408.389944
79.0,79,410.905175
75.0,75,413.34014
94.0,94,416.445848
19.0,19,417.114606
53.0,53,418.812692
52.0,52,420.647305
24.0,24,421.508565
48.0,48,423.360759
46.0,46,425.251375
24.0,24,426.202622
12.0,12,426.586606
30.0,30,428.210681
15.0,15,428.944878
64.0,64,431.832616
17.0,17,432.37339
35.0,35,433.698834
34.0,34,435.000315
70.0,70,437.268759
60.0,60,439.7156
33.0,33,440.829225
15.0,15,441.246868
36.0,36,442.491507
25.0,25,443.242158
22.0,22,443.994714
47.0,47,445.449162
30.0,30,446.399647
40.0,40,447.64431
46.0,46,449.131375
66.0,66,451.224242
99.0,99,454.348277
136.0,136,458.762741
90.0,90,461.549436
50.0,50,463.078009
13.0,13,463.461919
33.0,33,464.633375
58.0,58,466.513246
47.0,47,468.091334
17.0,17,468.646693
42.0,42,470.003157
52.0,52,471.622551
113.0,113,475.314224
65.0,65,477.61814
112.0,112,481.454035
137.0,137,486.520298
81.0,81,489.289938
62.0,62,491.214428
150.0,150,496.372998
109.0,109,499.818315
165.0,165,505.449743
67.0,67,507.63659
29.0,29,508.529291
28.0,28,509.430618
18.0,18,509.961286
115.0,115,513.786435
97.0,97,516.952242
22.0,22,517.659157
34.0,34,518.753671
40.0,40,519.965118
67.0,67,522.128927
25.0,25,522.992812
67.0,67,525.214029
39.0,39,526.556156
142.0,142,531.067468
21.0,21,531.712279
107.0,107,535.227375
164.0,164,540.358794
159.0,159,545.374947
11.0,11,545.731839
18.0,18,546.295487
134.0,134,550.639681
35.0,35,551.764328
45.0,45,553.307717
138.0,138,557.851609
22.0,22,558.511023
107.0,107,561.80883
60.0,60,563.648436
13.0,13,564.112969
57.0,57,565.953976
20.0,20,566.446399
94.0,94,569.54998
27.0,27,570.472657
51.0,51,572.08488
87.0,87,575.011803
116.0,116,578.627914
11.0,11,579.020403
90.0,90,581.794514
11.0,11,582.188506
15.0,15,582.691778
12.0,12,583.038124
64.0,64,584.957986
46.0,46,586.37112
47.0,47,587.911832
18.0,18,588.530466
39.0,39,589.752509
16.0,16,590.231034
37.0,37,591.403409
40.0,40,592.655428
36.0,36,593.78489
33.0,33,594.944865
23.0,23,595.621218
23.0,23,596.321471
10.0,10,596.701154
87.0,87,599.581768
51.0,51,601.200337
11.0,11,601.612436
39.0,39,602.922654
92.0,92,605.807184
38.0,38,606.981594
52.0,52,608.591461
15.0,15,609.045005
14.0,14,609.461783
25.0,25,610.257508
16.0,16,610.759173
23.0,23,611.574917
15.0,15,611.999696
12.0,12,612.385723
17.0,17,612.974487
22.0,22,613.640928
17.0,17,614.137653
12.0,12,614.628369
16.0,16,615.148702
11.0,11,615.536597
16.0,16,615.993995
14.0,14,616.430962
10.0,10,616.76121
18.0,18,617.263605
12.0,12,617.616813
15.0,15,618.106586
15.0,15,618.598419
26.0,26,619.368601
12.0,12,619.790524
40.0,40,621.192335
16.0,16,621.59666
13.0,13,622.035554
20.0,20,622.662096
15.0,15,623.102055
52.0,52,624.74433
16.0,16,625.259709
15.0,15,625.755039
22.0,22,626.440803
110.0,110,629.849763
19.0,19,630.481249
11.0,11,630.812236
33.0,33,631.84857
57.0,57,633.719824
14.0,14,634.31505
70.0,70,636.636271
97.0,97,640.358807
15.0,15,640.824519
68.0,68,643.092231
16.0,16,643.613623
24.0,24,644.361822
64.0,64,646.465905
16.0,16,646.975308
12.0,12,647.388323
41.0,41,648.637578
104.0,104,652.064636
137.0,137,656.382228
117.0,117,660.588043
22.0,22,661.313829
68.0,68,663.761203
18.0,18,664.28793
28.0,28,665.21904
76.0,76,667.624427
53.0,53,669.362089
92.0,92,672.468084
98.0,98,675.715834
72.0,72,677.982329
99.0,99,681.180864
99.0,99,684.314427
70.0,70,686.591527
72.0,72,688.833951
46.0,46,690.33617
20.0,20,690.883706
20.0,20,691.505868
16.0,16,691.937778
83.0,83,694.688026
17.0,17,695.242222
103.0,103,698.435307
63.0,63,700.438502
94.0,94,703.619962
47.0,47,705.369265
36.0,36,706.947386
14.0,14,707.445425
47.0,47,709.177278
118.0,118,713.855269
148.0,148,719.157477
141.0,141,724.094837
117.0,117,728.349691
103.0,103,731.829431
124.0,124,735.824597
120.0,120,739.589478
68.0,68,741.936002
125.0,125,746.268105
98.0,98,749.768223
96.0,96,753.123984
24.0,24,753.935538
96.0,96,757.151541
101.0,101,760.429677
113.0,113,764.09191
92.0,92,767.024965
11.0,11,767.435774
16.0,16,767.974018
107.0,107,771.529414
15.0,15,772.035503
99.0,99,775.187054
129.0,129,779.31145
121.0,121,783.480871
133.0,133,787.923598
107.0,107,791.502009
137.0,137,796.070055
131.0,131,800.135507
121.0,121,803.916565
101.0,101,807.192336
75.0,75,809.624633
93.0,93,812.571751
64.0,64,814.813668
126.0,126,818.697991
44.0,44,820.030364
160.0,160,825.335491
100.0,100,828.693214
127.0,127,832.727281
93.0,93,835.81995
103.0,103,838.99503
