% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19799
2,200,-197.4,39542
2,300,-169.6,56501
2,400,-138.2,70325
2,500,-159.3,86258
2,600,-116.3,97891
2,700,-128.9,110777
2,800,-124.8,123259
2,900,-156.4,138902
2,1000,-129.3,151831
2,1100,-113.2,163150
2,1200,-144.4,177586
2,1300,-107.6,188347
2,1400,-106.8,199026
2,1500,-105.0,209524
2,1600,-105.7,220090
2,1700,-101.1,230204
2,1800,-102.8,240489
2,1900,-103.3,250820
2,2000,-109.9,261812
2,2100,-103.4,272153
2,2200,-106.1,282764
2,2300,-102.6,293020
