% time spent exploring,episodes,mean 100 episode reward,steps
35,100,-200.0,19799
2,200,-194.9,39291
2,300,-183.0,57589
2,400,-165.9,74175
2,500,-139.4,88120
2,600,-114.9,99607
2,700,-125.6,112169
2,800,-116.0,123771
2,900,-113.8,135152
2,1000,-110.5,146199
2,1100,-108.9,157087
2,1200,-105.3,167620
2,1300,-118.3,179451
2,1400,-127.4,192195
2,1500,-108.8,203077
2,1600,-105.2,213601
2,1700,-105.5,224151
2,1800,-106.9,234839
2,1900,-103.7,245210
2,2000,-104.6,255673
2,2100,-106.0,266278
2,2200,-123.4,278613
2,2300,-105.1,289121
2,2400,-105.0,299623
