% time spent exploring,episodes,mean 100 episode reward,steps
94,100,22.0,2181
87,200,28.9,5074
80,300,28.8,7954
74,400,26.5,10601
68,500,24.4,13041
61,600,28.1,15848
52,700,36.4,19486
44,800,32.8,22764
34,900,39.9,26758
17,1000,71.2,33877
2,1100,91.8,43058
2,1200,118.7,54927
2,1300,165.4,71462
2,1400,178.8,89347
2,1500,145.7,103914
2,1600,81.5,112061
2,1700,108.9,122948
2,1800,137.6,136710
2,1900,166.1,153320
2,2000,152.4,168559
2,2100,171.8,185743
2,2200,134.1,199149
2,2300,154.1,214557
2,2400,132.3,227786
2,2500,134.6,241249
2,2600,101.0,251347
2,2700,147.2,266068
2,2800,161.7,282240
2,2900,132.6,295505
2,3000,152.8,310789
2,3100,148.7,325655
2,3200,158.0,341453
2,3300,135.9,355044
2,3400,122.3,367273
2,3500,121.4,379408
2,3600,117.0,391109
